,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
0014_01,0.3209262936275518,1,0.0019207136486645634,0.0017797150876317635
0026_00,0.33168015828734293,1,0.002646539760564112,0.003583898764316523
0027_00,0.247886143716602,1,0.002373931805364153,0.001143125944100906
0027_03,0.27268545033787234,0,0.0007648038280458204,0.0004596396542555458
0027_05,0.2760310719127255,1,0.0003124406631214118,0.00023027724761039088
0034_00,0.33403673311292875,1,0.0026459579070474484,0.0028231701699054194
0038_00,0.25345479049286385,0,0.000529176474757911,0.0003502457349069582
0038_03,0.2588492837600539,0,0.000939373800998474,0.0008517312967103676
0054_02,0.27817219918048375,1,0.02969917725020716,0.014707060721474858
0056_05,0.25207975233776375,0,1.3368225542484006e-05,1.9151172828581396e-05
0056_09,0.2857557016787563,1,0.022418993254309395,0.010991708330678153
0057_04,0.25869477093132776,0,0.00013095793042951852,5.542819474955414e-05
0057_06,0.2816604770217853,0,0.0013777118478558704,0.0008432215053653424
0062_01,0.24693986721929995,1,0.0015475058324529909,0.000744363567773738
0068_00,0.2739451327938617,1,0.024019411974298795,0.011813675124012483
0070_00,0.5815259516473821,1,0.00018111483142234437,0.0013791875604302556
0071_00,0.24997525909276436,1,0.001251793070617646,0.0005736323708748368
0079_00,0.25718581679891855,0,0.0005732678642812157,0.0005694424011024905
0079_01,0.272610224912224,0,0.0002501187342893984,0.00033936721390663967
0079_05,0.2580043515575183,1,0.0008212284541388811,0.0004756110209341295
0087_00,0.5653136142908016,1,0.0026696717897906814,0.0018132455848238317
0097_00,0.6449302952777349,1,0.002681799430385987,0.005856482548833001
0103_00,0.6297900223785806,1,0.0019237016250849921,0.0018758944033319415
0103_02,0.2423979564707847,1,0.0009754037834287155,0.000448318342840478
0113_01,0.5439532404784359,1,0.0004031096062898589,0.0012127521164350622
0115_00,0.30707710566674457,1,0.002918749054333459,0.002664139154135299
0117_00,0.32616567714522987,0,0.009904265821357842,0.008733690167676257
0117_01,0.2810316519456684,1,0.022751972175216205,0.011266043932759836
0117_02,0.5847846665372967,1,0.022683612937368976,0.01240758161614973
0117_03,0.7896166109180995,0,0.0016940903172659226,0.0024151565304275516
0124_01,0.2657902896003031,0,0.00018031906159049122,6.496047574308154e-05
0126_00,0.552148427001152,1,0.01977905278098546,0.011250392338938014
0126_01,0.24867676834039962,0,0.002059781000259701,0.0013493427985761224
0147_01,0.2741074230282941,0,0.0003957007621233734,0.0002513758283123128
0147_04,0.26965613038285247,1,0.0010005235085335188,0.00049106246702101
0151_01,0.3034353292495276,1,0.00144496075916233,0.0008253388504085526
0151_02,0.2577530430074709,1,0.023755581327696416,0.011512831471122873
0161_01,0.2539250806978746,1,0.0005460619520285539,0.00037832476776751247
0161_02,0.26121030239001614,0,3.1010954861258526e-05,2.621356662640818e-05
0164_00,0.32280693478646644,1,0.002642265087182117,0.003055520140561819
0172_00,0.2642641669391163,1,0.023034795250503066,0.01119534642698682
0172_01,0.3107798954719566,0,0.00029564711355503003,0.0002687950152777148
0172_02,0.2619300044032801,0,0.00013460552429289698,6.445719233742428e-05
0172_03,0.9637536718453551,0,0.0001044128828405901,0.0032193206902885007
0180_00,0.5183609920693788,1,0.019040555535329504,0.010670032654787892
0184_01,0.5800461493850929,1,0.023699881236151226,0.01328518408716021
0188_03,0.3325040995737504,1,0.0026444736609581745,0.0029452631630237694
0189_03,0.27620531611185933,1,0.02480781028013069,0.012193674795198752
0189_04,0.24239763490799615,0,0.0011240647838941153,0.0008770193899921089
0189_05,0.24198653728347852,0,0.00022601796969337574,0.00011111834798484415
0195_01,0.6550951776155602,1,0.002727687214248214,0.005755340343247511
0195_02,0.2438651115617475,1,0.0017063825688978084,0.0008203719368292602
0196_01,0.2418219589801536,1,0.0008492361566659594,0.0003837441652571524
0196_03,0.2724849230205932,1,0.02227484836558912,0.010888437985850853
0196_04,0.2487103505301552,1,0.00019876786490759962,7.5089607466099e-05
0197_00,0.5198162405042492,1,0.0027569634657532093,0.0021196130613274173
0205_00,0.27506263680914567,1,0.00020293762578796375,9.6041252700308e-05
0207_00,0.49897725923252695,0,0.003816525042498994,0.004073982100614941
0207_01,0.27471368806867985,1,0.00035350586350968547,0.0002690274654005378
0212_00,0.3059300872275426,1,0.002670458782551019,0.0027694143040739843
0230_00,0.2577055621004751,0,0.00016760195568520155,6.0236025864427466e-05
0230_01,0.2975830537175823,1,0.04668565579857591,0.044898245799180225
0230_02,0.26234148137914143,1,0.003121149253824661,0.00184854268679048
0230_03,0.24641456792006405,1,0.0003415924014353044,0.00013131306681977707
0230_05,0.27040768409835547,0,0.0004345766160381653,0.0003103471576934622
0230_06,0.28692231177177513,1,0.0006308947275776054,0.00042404179928349654
0240_04,0.3638687867768553,1,0.021139142867428927,0.010450327540020466
0249_01,0.30185060262727503,1,0.0026760147216130597,0.002620516380095631
0252_00,0.346264251911703,1,0.002642951557375862,0.003478760505978744
0262_00,0.25389838521290675,1,0.00021895562971030097,0.0001461981646696596
0265_00,0.3061956776664804,1,0.002785414700151282,0.002092843144751574
0287_00,0.7530556957509371,0,0.003815272332147045,0.003026319910630487
0300_01,0.2454907507700607,0,0.00021324934835665786,0.00010949985013152335
0300_03,0.25411363022849764,0,0.00038266244621067017,0.0002603907364542379
0309_01,0.2668677582953312,1,0.00016464252803263674,7.138124844763763e-05
0313_00,0.3502515364664074,1,0.0026424510471983634,0.0033576346998150427
0326_00,0.3488948699168743,1,0.0026425632012169803,0.003325405236219922
0339_00,0.2783582683115444,1,0.000728192837830035,0.00035291378287916606
0345_00,0.2615253731487145,0,3.8720444507883594e-05,5.212471169457541e-05
0379_00,0.26782277013042977,0,0.00029733901633918346,0.00022703577857866603
0379_01,0.24497889593420957,1,0.0002537850762244974,0.0001676834988439949
0380_00,0.2610642909611689,0,0.0007118951686621817,0.00045750533610917075
0381_00,0.2929039499057986,1,0.0203073272455691,0.009775824201867794
0394_01,0.25468159849799776,0,0.0013506200621104937,0.0007391099171724198
0408_03,0.28485207361090437,1,0.02175688153324206,0.010684039077226004
0411_01,0.25217192442508923,1,0.0007426694505287099,0.0004277231644077728
0419_03,0.28352966882231945,0,0.0005690480647794824,0.0006552914958852688
0419_06,0.25846200474354786,1,0.000329306228791735,0.00016042407541413492
0441_02,0.5964560046178422,0,0.0040313139501302305,0.006306978009309408
0441_03,0.23850044040353852,0,0.00011435970745181145,2.796872592634221e-05
0455_07,0.24686432759009158,1,0.00024162192263253067,0.00011997965593385599
0461_02,0.2449992974989723,0,0.0021522227703361443,0.0026280361448527204
0469_02,0.29379138565993435,1,0.0024657429534645017,0.001740365542445247
0495_00,0.2514621533273638,1,0.0006958425216212947,0.0004068095171241989
0495_02,0.27931818940180514,1,0.022846248322356762,0.011053030694703536
0495_06,0.5724908999471204,1,0.0006117162219317202,0.0016410297894522696
0503_00,0.5677576842181654,1,0.009830865887915034,0.00526305094009647
0507_00,0.2600343040468256,0,0.002143437625351973,0.001985508953542802
0507_01,0.26802964032219834,0,0.0024978608619336444,0.0012480344695199649
0521_00,0.27733365071170274,1,0.02284325725650659,0.011029213962767372
0524_00,0.24037155128185425,0,0.0001801122635260224,5.767877577687238e-05
0568_01,0.5640779476501689,1,0.0004852418555783592,0.0010585149116657266
