,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
0014_01,0.03972866164637761,0.2947448509849359,0,0.2876953240966434
0014_03,0.0006566604108353738,0.00015942291950664283,0,9.539824355387326e-05
0022_00,0.005249103633734024,0.00016074176834176236,0,5.5237592749917156e-05
0022_09,0.04012076217169361,5.074204230301498e-05,0,0.00018261902204960522
0023_05,0.01938059574001683,0.0007040286846615832,0,0.00042169588885316905
0023_06,0.00407859808183341,5.322925450409239e-05,0,1.5376173526435672e-05
0023_08,0.0051721356637849675,2.0601585283139372e-05,0,9.096636396176134e-06
0025_00,0.020628414503919126,0.0004101899174626067,0,0.00023751637886901129
0038_03,0.03160540148860034,0.00020854335730275574,0,0.00018310979270480418
0042_02,0.010971290858811437,0.00015127277390882614,0,0.00014352180000319484
0042_04,0.021038064738828438,0.00044527065542271507,0,0.00029352405860521576
0048_00,0.02524696236786385,0.00037352482059495627,0,0.00019329069817451572
0077_01,0.04172787854854042,0.0004120041814139534,0,0.00023761652494206864
0078_00,0.018393127670411003,0.00023466240331460243,0,0.00012770411139758993
0078_01,0.013079790271206846,0.00029104723954807,0,0.000181577605567152
0078_02,0.018600516550449746,6.73431235826372e-05,0,7.308368181828616e-05
0085_03,0.06367969271057589,0.0010593930702281838,1,0.0012477542107076456
0087_00,0.04503708187428825,0.01827195485280526,0,0.015810437993023178
0088_01,0.04910752268092001,0.051841747931289955,0,0.04685196356601396
0111_00,0.018890698008845467,0.00032138891487705154,0,0.0003087774641925626
0115_00,0.03824390404091377,0.0004777266832303364,0,0.00035244447117242393
0122_00,0.0151157421542743,9.230625139272034e-05,0,8.661486721546442e-05
0139_00,0.011943043595070505,0.00016111069566651434,0,0.00010880486251742578
0139_03,0.0033660483342466295,0.00020316001267866297,0,0.00010739366260998297
0172_00,0.03776699089259472,0.016736144817090653,0,0.017154595212134378
0172_02,0.029982210974479673,0.000602194275167533,0,0.0007766278110880189
0176_00,0.0035308959528756972,0.00022273470401593898,0,8.166804375723283e-05
0221_01,0.02747475566280398,0.0001773704681920208,0,0.000410026582796948
0221_02,0.025065407755772064,0.0010563197376288092,0,0.0008297840587936654
0230_01,0.0507507404149368,0.00116084214675651,0,0.0011723180420804506
0230_02,0.006648313150394944,0.0001614372111903207,0,7.503550619481373e-05
0254_02,0.005266240328668499,6.791231630026736e-05,0,4.260962838077422e-05
0274_00,0.003114259194456556,0.000573169372897467,0,0.0002746278683688871
0299_02,0.004910460519172472,7.106403442392535e-05,0,1.5324771913759045e-05
0305_07,0.07787401854746648,0.0009595129119343264,1,0.000987119224855911
0348_00,0.03167324497786647,0.0002438383483744672,0,0.0002885086839094013
0363_03,0.020133192555766424,0.0001703571923186949,0,9.537562810591461e-05
0370_00,0.03367483141888471,0.22311853199809076,0,0.22098883656340404
0380_00,0.03719829451802713,0.00020530355512272743,0,0.00015998384473154775
0381_00,0.035562244486917784,0.0008191149370920719,0,0.0004865034505936389
0384_00,0.018547368056593246,0.0007323911328547771,0,0.0006059928290556476
0384_01,0.013664618268932997,0.000983666475523943,1,0.0008134606104932627
0389_00,0.0022059608725789933,0.00021991755950676888,1,9.512746896543423e-05
0402_01,0.016148193670219912,0.00015549508944601506,0,0.0001548515452694249
0410_01,0.037181395879869336,0.0018528653438359074,1,0.0011274403426741594
0433_01,0.0491183962744543,0.001866734810342515,1,0.00121999274940065
0439_05,0.007885733464170864,0.00022737652853339676,0,0.0001239189649836503
0447_00,0.007762204324463868,0.0004138178179361219,0,0.00023324151021884964
0453_01,0.02659109051004618,9.132740864500588e-05,0,0.00014016462834510058
0453_02,0.03610045904675387,8.464245102166383e-05,0,6.256732900593084e-05
0468_01,0.002147899373417748,0.00010548906126979095,0,2.3241362489333543e-05
0469_02,0.05610240788752739,0.003986049050654284,1,0.003460737166309435
0475_01,0.04679369157710606,0.020061822399892508,0,0.01821066847196752
0486_05,0.007240766115934671,0.00027066272177770457,0,0.00016685887221568106
0527_00,0.019743980876473857,0.0004307239589329247,0,0.00027013749887815444
0555_02,0.012673742081881571,0.00014298041093466975,0,7.312565714817728e-05
0555_03,0.03563261118195132,0.00021238436030561358,0,0.0001889193509288212
0555_04,0.12966804212338237,0.00022237045743252635,0,0.0005514987825035679
0555_05,0.013176814274640448,0.0003132271416077551,0,0.00021317577825978685
0574_01,0.02185498527551102,4.488218652524138e-05,0,3.738770026793412e-05
0574_03,0.019455627267791334,0.0002664015610672052,0,0.0003319407268761936
0603_00,0.0062097804488309765,4.840720010771442e-05,0,5.5856605317385634e-05
0622_02,0.01792888799656582,0.00011614973971017894,0,0.00010674131937538024
0623_00,0.03252724354015589,9.703853351044619e-05,0,0.00012735659015248788
0625_01,0.012030483973543107,0.0009218824074112183,1,0.000567627979098912
0641_04,0.05746249069466004,0.0013199019633595745,1,0.0011474848297130598
0644_01,0.03758256771928691,0.10795070402104298,0,0.10470433476101006
0644_02,0.034346371840464955,0.010329401813217804,0,0.009466668832346963
0653_02,0.021647877257353856,0.0005921850435476442,0,0.0003582865856776496
0673_00,0.030399781748024927,0.0002052287336001829,0,0.00023107929681664022
0689_01,0.09649793638827865,0.014057441181045946,1,0.013500935286624419
0699_00,0.045373177115277344,0.0014336072533574467,1,0.0009288652623626547
0699_02,0.028724850765083153,0.00024047071696300387,0,0.00023076504184237905
0715_00,0.0028466825719603984,2.4524629173020034e-05,0,0.00011335238422467632
0717_00,0.014586715829221239,0.00022798033259570252,1,0.00023325950778293466
0719_01,0.056451662631653333,0.0010594511693023873,1,0.001007485143351739
0720_00,0.0028280393344638226,0.00011838992596755707,0,3.494252229506826e-05
0729_00,0.005368733912225407,0.0001726506072781155,0,6.605994785027136e-05
0734_04,0.02430077200628635,0.00012366744430361933,0,0.00012384301679511939
0743_00,0.019283033671409815,0.00018899981268724844,0,0.00019807246348563066
0743_04,0.036759620550949154,7.03617207924346e-05,0,0.0002500084707456154
0788_01,0.07260101074586807,0.001866805881137098,0,0.0030424972194986054
0790_00,0.05228484803800319,0.9999999999999307,0,0.9999999999999628
0794_00,0.029973847124538423,0.0003129966796613474,0,0.00019409761976982247
0806_04,0.026468096766529562,0.00030323515961695394,0,0.00024599899279462276
0812_02,0.023464544469240692,8.684754977551529e-05,0,8.390903458707894e-05
0834_01,0.006585833613649987,0.00019044345424974816,0,0.00011990607453437548
0845_01,0.010226221946884802,0.0002337682907290415,0,0.00013585156110027931
0856_00,0.016801236401034886,0.0004007770564449052,0,0.00020558300046682337
0860_00,0.01969387265199824,0.0004380387195282033,0,0.0002661971404530627
0923_01,0.007642344297697002,0.00023144268532655776,0,0.0001360660256238176
0925_00,0.011849885385150588,0.0006717721806647383,1,0.0006876021737066368
0926_00,0.007083736113928593,0.00018774421692810796,0,0.00010607538279426694
0929_01,0.01774321862260865,0.0002818982542614152,0,0.00026564837302391357
0969_04,0.021061098725794234,0.0004093515803750496,1,0.0002160647926054873
0969_11,0.04689947635347429,0.0006415644176179632,1,0.0008538429600619009
0969_14,0.020717541269679337,0.0002741274975931362,1,0.0001423739143295945
0969_15,0.03073021644448159,0.00026218305236899936,1,0.0003172240642192779
0969_16,0.02258806407948529,0.0004055192571844301,1,0.00022277000689358765
0974_00,0.9999999999917781,0.041506218698662174,1,0.0379524377572538
0981_03,0.008161829778615973,0.00048636044730528436,0,0.0003246763164772612
0982_00,0.026078134365970188,0.00025006706978367887,0,0.0002148202224763871
0994_01,0.021853313696196176,0.00038855127429344603,0,0.0002095198733077156
1000_04,0.0021186900579070076,0.00030543031981325285,0,0.00014465079504478822
