,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
0014_01,0.03413616034000266,0,0.9999999999974906,0.971248350900539
0014_03,0.007514787384310276,0,0.002358000080669992,0.0032201016391626563
0022_00,0.00242124645896054,0,0.01069251745355379,0.007622227305616186
0022_09,0.02323775107784333,0,0.0005559125443763843,0.0016012421903273634
0023_05,0.0005072479433297664,0,0.004648611837485656,0.003331885364902763
0023_06,0.0013782795217629747,0,0.0002873817748884204,6.105983403658071e-05
0023_08,0.0202759979545283,0,0.0021872105499937873,0.006437491237765443
0025_00,0.023724547705318403,0,0.008964208860108916,0.009345892695889578
0038_03,0.005134043910093404,0,0.0020392611091267386,0.002574194719848864
0042_02,0.011365484539192115,0,0.0007346475048714006,0.0022348514704802927
0042_04,0.025477307860025965,0,0.012751947942090305,0.01221839344256083
0048_00,0.0221786541783652,0,0.0057003047333449445,0.006782314993518604
0077_01,0.02363299531499134,0,0.007264775835178274,0.005685802592151349
0078_00,0.011720951958206029,0,0.002018969171399284,0.0025455145154097444
0078_01,0.007027791570414343,0,0.0021924313354814654,0.0022851176492206444
0078_02,0.0024447121689856115,0,0.0031535355180142785,0.0018185221695237903
0085_03,0.05135749271076859,1,0.02144846510961048,0.022291417007611006
0087_00,0.03773859834073679,0,0.4236417493272532,0.4294770192378139
0088_01,0.043162152304436735,0,0.9012250094534202,0.8886793968445557
0111_00,0.042056074962576635,0,0.003909728170831132,0.006096058045690651
0115_00,0.030531147233545126,0,0.04498322342286193,0.07441097497725502
0122_00,0.023901981085840542,0,0.005504366459758864,0.007878628531093852
0139_00,0.024159177924952317,0,0.0020567502392800753,0.004107972331935502
0139_03,0.012838345712438855,0,0.005021310411235549,0.006732576762004585
0172_00,0.02842340668628544,0,0.010864661870580754,0.01709461011246215
0172_02,0.00558692419996027,0,0.01151159081754339,0.009312997962860427
0176_00,0.007225485166439997,0,0.003464959220616201,0.002680482198158131
0221_01,0.03714965429113109,0,0.019521520174153133,0.03564012295638275
0221_02,0.024457080392749242,0,0.006089966688386173,0.006650528039130266
0230_01,0.025135639385050867,0,0.013137311132020891,0.020373536001314724
0230_02,0.006374523167035372,0,0.0015849212051366802,0.0032186094675090847
0254_02,0.00748534584358909,0,0.003534330612454814,0.004319192559275296
0274_00,0.002961777000867128,0,0.0028099060412605423,0.0024897296059154424
0299_02,0.012407332887096771,0,0.006946918284741175,0.00962988696415907
0305_07,0.02402623598870572,1,0.0016204170866577054,0.0033629865524651826
0348_00,0.0206358705614094,0,0.006445166133072247,0.008357124243588017
0363_03,0.023264393707357892,0,0.0006211903742319342,0.0024083100467799335
0370_00,0.028546993879657635,0,0.30899390460170845,0.36141105277418484
0380_00,0.011636794321820758,0,0.012769575985827182,0.009942117386147434
0381_00,0.022239629763857054,0,0.013945807726025957,0.014385622324567169
0384_00,0.007142894377571619,0,0.005873369418428413,0.00701146286083866
0384_01,0.01012310715528497,1,0.028676776425896312,0.023581473504464077
0389_00,0.018479677244817652,1,0.009947863728602164,0.007428365642123724
0402_01,0.04989875216809371,0,0.005858984551691363,0.006005515710896471
0410_01,0.03927439209967642,1,0.017738406916926585,0.016051270805257846
0433_01,0.028564776318424023,1,0.016852925891469327,0.017299199779283795
0439_05,0.008604298238259629,0,0.010993911420515607,0.009410181575381463
0447_00,0.007648023974635047,0,0.006123220866286583,0.008410270719504292
0453_01,0.0038481935080125003,0,0.0020282135808383692,0.0038086396359701073
0453_02,0.022917343273286823,0,0.001681821650369699,0.015819024593344198
0468_01,0.0029344599034917002,0,0.0024925974537079593,0.0012891522081209307
0469_02,0.05208131051844076,1,0.04390778953736031,0.05474911544902195
0475_01,0.044181950158951745,0,0.4016018507241438,0.44091789519971164
0486_05,0.00032158393654981303,0,0.0020120330650564644,0.0015518239820015364
0527_00,0.018011534356120934,0,0.005916199357080505,0.006792593533529856
0555_02,0.0033511207659876335,0,0.006388137497075589,0.004084377518962861
0555_03,0.0005036956312791796,0,0.0019237813263628387,0.0017386392510082447
0555_04,0.01157544176491313,0,0.005466086201502322,0.006448037765349782
0555_05,0.002781243546515409,0,0.0024829775999912827,0.00215312008989652
0574_01,0.006303279699664847,0,0.006728113406448711,0.004759817697114557
0574_03,0.005704206752510369,0,0.010674180155831466,0.006423623344029178
0603_00,0.02117107351506724,0,0.006269319629823851,0.010097996255782919
0622_02,0.0027869505695750293,0,0.004448201808204838,0.002929055896410628
0623_00,0.0,0,0.01869280146231977,0.011469407501707843
0625_01,0.01410850513412486,1,0.02162182820471487,0.01761084560889133
0641_04,0.06190029153590967,1,0.06242246688793495,0.05565882234187949
0644_01,0.0311600638069199,0,0.9922835935468258,0.986518990259402
0644_02,0.029424700081757817,0,0.2565084065172562,0.24223494630546308
0653_02,0.02409662622655721,0,0.025104703627356385,0.02809849129862729
0673_00,0.022686512231051007,0,0.01558856197020671,0.01290896420240152
0689_01,0.08254124391147794,1,0.0360437627268794,0.07592742538878013
0699_00,0.02186804985850686,1,0.006524455431436153,0.00987975147540538
0699_02,0.020345531181110176,0,0.005800309098659402,0.010075747816861472
0715_00,0.0006669365928543083,0,0.0008644475288948115,0.0016214118997218204
0717_00,0.023323156663034732,1,0.006694990343694093,0.006368158395807902
0719_01,0.02228607311216641,1,0.07527149702280368,0.0775985348891885
0720_00,0.021815273800313475,0,0.001862143797962095,0.005484195210512612
0729_00,0.0,0,0.0017892313241038595,0.0009398908953230564
0734_04,0.024550075658600748,0,0.008798162397026571,0.007931143380003147
0743_00,0.016605238957930018,0,0.004346937075071289,0.008930432361007197
0743_04,0.04032099681088237,0,0.04471334649398324,0.06919222254602424
0788_01,0.030637493200349964,0,0.03459704966274335,0.039096934222249774
0790_00,0.03380260421830409,0,0.9452040609082623,0.9999999999983199
0794_00,0.022646673688594455,0,0.01395077610161183,0.009986229525739408
0806_04,0.005296057108192648,0,0.010543308413027518,0.0071892614474987375
0812_02,0.00019062265708372314,0,0.0015744205279713454,0.0007912948763281755
0834_01,0.0026204506417918058,0,0.0002863001537271729,0.00035343710463126146
0845_01,0.03567654354709288,0,0.14345506062104102,0.11128692755060342
0856_00,0.028230684197607117,0,0.008713079986702928,0.01537284606819532
0860_00,0.010004552935603097,0,0.0011792406547511923,0.001076403921547496
0923_01,0.030731743347820938,0,0.0016001000016973793,0.0045901276899969305
0925_00,0.009414955787160052,1,0.020330550001214188,0.015105480373412215
0926_00,0.00505501363437332,0,0.014539333479744804,0.014957631643914648
0929_01,0.019604046922076332,0,0.006757583945904633,0.007244158040583862
0969_04,0.0011115485439110876,1,0.007324342173298105,0.005240336208022221
0969_11,0.023569700735249114,1,0.020657676407579383,0.019416755413888282
0969_14,0.027679070941637192,1,0.028906060051396495,0.02491485977224268
0969_15,0.031570425558732955,1,0.004243678340379095,0.009487819522152685
0969_16,0.026890773730870142,1,0.025436164057656526,0.02022355202394665
0974_00,0.9999999999933397,1,0.245770725412208,0.7204366709219286
0981_03,0.02738376956012472,0,0.006488701143656394,0.010775221235309222
0982_00,0.007457140354183184,0,0.0020209261480184427,0.001239875826852355
0994_01,0.006196733535851718,0,0.015175978480437604,0.010496823490067187
1000_04,0.006256005704451367,0,0.00042573072038962434,0.0012673163079004988
