,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
0014_01,0.09929399496121048,0,0.08309689142799474,0.08476133417295756
0014_03,0.07946701413253257,0,0.002454251062134498,0.002880991971776971
0022_00,0.07831747312188532,0,0.004703117331941261,0.005898139278112468
0022_09,0.0796308282617487,0,0.007455421846978368,0.00795719937280752
0023_05,0.07210411031396825,0,0.003525517005847184,0.0038314787725381985
0023_06,0.07200879454633605,0,0.08969738896246168,0.08922285260301768
0023_08,0.09610011944602727,0,0.006319737669530489,0.009017497437878922
0025_00,0.084590009113236,0,0.020778839274112084,0.021194434749745163
0038_03,0.08133569927154463,0,0.0015979032109183563,0.0021655788395228445
0042_02,0.07777696314409696,0,0.0006037463188174079,0.0008492125944331934
0042_04,0.07710465476734243,0,0.016646605090137732,0.017205435035936443
0048_00,0.08073776003108253,0,0.0030548391412270064,0.0036528921690174997
0077_01,0.07968607759189539,0,0.0019418770033026319,0.002175362003571007
0078_00,0.0850981892718411,0,0.0014420295194027956,0.0016346542722495488
0078_01,0.09790957989884308,0,0.0021355715985474427,0.0036673647934664174
0078_02,0.08071017000420638,0,0.0028849299024655303,0.0030427603762190098
0085_03,0.33320870177336565,1,0.014677444234889158,0.02537154631761105
0087_00,0.09499495382132536,0,0.004717022929028939,0.005409717076719302
0088_01,0.33025034046565854,0,0.03381164983759496,0.06479625927349483
0111_00,0.08588387012242968,0,0.0021246670633993624,0.0027778176452016227
0115_00,0.10707519320518313,0,0.008301001180082692,0.009279638614266448
0122_00,0.09008376071351891,0,0.0016475274359184183,0.0024365091503150676
0139_00,0.07974385947173651,0,0.0022939722724907795,0.003137944205869679
0139_03,0.07779701652790694,0,0.0014346721001141142,0.001741595224486818
0172_00,0.1009765159082609,0,0.05994680543104116,0.062199600494850384
0172_02,0.07348198867891363,0,0.010975837203002693,0.010507558020222709
0176_00,0.08071039190577217,0,0.0021555592100153,0.0020390688741669842
0221_01,0.11163507407233252,0,0.004475603481791652,0.006134054223247763
0221_02,0.08460649269339776,0,0.002781657854658952,0.0030482362979949874
0230_01,0.076718809405583,0,0.28447837279912347,0.29567946919908156
0230_02,0.08986788718229635,0,0.0015271564036310355,0.002329009939317681
0254_02,0.08247846668186687,0,0.002684606619241438,0.0038005689245715225
0274_00,0.07647173817375603,0,0.004925657043027403,0.0052999466667877125
0299_02,0.09955495395486019,0,0.003595829366508782,0.009208603618581723
0305_07,0.08120506487886159,1,0.0004397789097529875,0.0001872242577290606
0348_00,0.10079503434420933,0,0.026358520424836798,0.032413142313884515
0363_03,0.07990846280211489,0,0.0003702472588716567,0.00032675430118437953
0370_00,0.0921439105960206,0,0.01822544081093234,0.019150230448641944
0380_00,0.09162902369423775,0,0.010854388131129057,0.015266190494781182
0381_00,0.081483752758657,0,0.04498490153940247,0.04627019086079506
0384_00,0.08871530529516745,0,0.004698930353162438,0.006093644509220074
0384_01,0.10974197687708155,1,0.0061458696697339246,0.00791369737489358
0389_00,0.1124258829451596,1,0.004365508261323787,0.005508144119435947
0402_01,0.09120688284520138,0,0.08956473410478635,0.09103700263454637
0410_01,0.08704324692462344,1,0.006960762057510835,0.010316593836057522
0433_01,0.09666212062973516,1,0.01594674265673579,0.01684855685508696
0439_05,0.07515893051588259,0,0.0026849178211716582,0.002507015742883528
0447_00,0.08083764618362373,0,0.0027099735639529547,0.003731909149250048
0453_01,0.08408089584270678,0,0.0012112048375713255,0.0022159373512513473
0453_02,0.08432610240315723,0,0.0004878528043508551,0.002243290797187001
0468_01,0.1539438240896296,0,0.001954604095578655,0.005264138605540523
0469_02,0.2858730541809027,1,0.006289224882022883,0.017540451854529307
0475_01,0.343733745764402,0,0.004625603665074123,0.021918775588269202
0486_05,0.07144802467424871,0,0.0015732074788103532,0.001460932012600478
0527_00,0.07420600002204661,0,0.003953474915475555,0.0046918438489032665
0555_02,0.12281756892217657,0,0.0023211514696814847,0.0044952447979305175
0555_03,0.07508633007184913,0,0.0013859633585851438,0.0014642402503013707
0555_04,0.08695996386843612,0,0.004069875073561228,0.004429298613229534
0555_05,0.07622457000393915,0,0.004979262668732754,0.004851796372594562
0574_01,0.07764362267675899,0,0.0025371970995949748,0.00230881336752612
0574_03,0.08176213903370824,0,0.027624660510233177,0.02778636643313259
