,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
0014_01,0.01645371331535227,0,0.9999999999997035,0.9999999999997234
0014_03,0.0112190020265572,0,0.00035312166348913583,0.0005948156088989861
0022_00,0.007925964650515222,0,0.0011017957675837136,0.0012467676034450656
0022_09,0.007612366311644043,0,0.00014534944133053746,0.00036078650408736407
0023_05,0.0030897492115228003,0,0.0005068653367385379,0.0005308495683519067
0023_06,0.00448780409307502,0,4.5033871926110015e-05,4.278734900397897e-05
0023_08,0.008020077642782661,0,0.00021452152493215844,0.001290318777124721
0025_00,0.01203260427591744,0,0.002252296755874829,0.0020963228121624548
0038_03,0.005840387190202175,0,0.0002086697715495138,0.0004080461694964315
0042_02,0.0074581730155268994,0,0.00015056188720369745,0.0003951885071556684
0042_04,0.010877984178061146,0,0.002856333672510044,0.0024492163731049395
0048_00,0.00783188316726905,0,0.0011102689841604142,0.0011350055390792922
0077_01,0.010416214095267745,0,0.0014647851635751833,0.0011445773546734244
0078_00,0.006614667252209894,0,0.00021337890307811282,0.00043901111334028307
0078_01,0.008577166407021055,0,0.0002605232923870043,0.00043726375234631466
0078_02,0.004580358697378171,0,0.00036384619189856326,0.00030404944615002136
0085_03,0.016350109804802268,1,0.0031241395491335374,0.0038991167400579813
0087_00,0.01547490459298468,0,0.33613856431088307,0.36497449508495916
0088_01,0.014344768835674171,0,0.7044686963904883,0.760030323771618
0111_00,0.013255616787662404,0,0.0014461468548704272,0.0021391818963285313
0115_00,0.016671593258823322,0,0.1320195394627784,0.14364308346421195
0122_00,0.013502153944085018,0,0.0008983629925839425,0.0017426705489211008
0139_00,0.010927272557178926,0,0.00039978413406127107,0.0007143231071448175
0139_03,0.007664630657355865,0,0.0005351853534663157,0.001472082075662327
0172_00,0.019381791717353707,0,0.029690644909810833,0.03456209564595576
0172_02,0.005144288376895693,0,0.0014750097511544943,0.001565661329031129
0176_00,0.006753901436315646,0,0.00044291990090160587,0.00038255444022903894
0221_01,0.016734532075581135,0,0.0025658913596192864,0.006327545015679194
0221_02,0.010624031681418504,0,0.0014187086150669445,0.0014021708655136476
0230_01,0.01171878736293635,0,0.009810096873987834,0.01192111478745274
0230_02,0.006322293499915845,0,0.00018512135497973244,0.0007221831530641967
0254_02,0.0057735417007599545,0,0.0003731379197476091,0.0008292829177360195
0274_00,0.00855890547409598,0,0.0003535268529805674,0.0004670737127294957
0299_02,0.006372897911782533,0,0.000794012907408257,0.0017665992169507787
0305_07,0.007688198037414655,1,0.00036848426024569834,0.0006999250140178346
