,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
A01,0.014270145747538225,0,0.03853799280936954,0.03269775135406935
A03,0.025010021435813302,0,0.03324652917226684,0.028775015031376874
A04,0.024647442113937757,0,0.041034846796049115,0.03214901821592063
A06,0.014422958296497115,0,0.041080889242567996,0.034284940416817185
A07,0.021398100005239114,0,0.046006982038658155,0.035587442808886594
A09,0.02037968697882525,0,0.03992889354998907,0.03632123809617786
A10,0.018813021424615547,0,0.012555947683808825,0.013201948090354356
A11,0.013669460922638444,0,0.026028922066462786,0.021411708343557826
A12,0.08123291719678266,0,0.0307171521320679,0.0422705923335174
A16,0.04558040875683253,0,0.025262306650339125,0.02250296801356549
A17,0.01855459486666298,0,0.014941990572820491,0.013692591781481038
A18,0.017280960771707765,0,0.0077001612299162185,0.0046905722293221425
A19,0.04425685505530313,0,0.024322784705088193,0.018148088044756348
A20,0.01726119021463997,0,0.019757149012757134,0.02532647438113573
A22,0.05292332418714793,0,0.056195551481487145,0.09028318281031267
A23,0.05256193542786581,0,0.08017592555827316,0.06169647736834538
Alaimus_2,0.08491622578610225,1,0.12524622142675737,0.1383028134619689
Aphelenchoides_2,0.3901608930619559,1,0.11039170924392616,0.23585928056967717
Aphelenchoides_3,0.611015545882604,1,0.33612300649163207,0.36641579524590834
B02,0.019181825752447923,0,0.05306174790856939,0.044198140393791024
B03,0.01952986238462071,0,0.003993484219488606,0.0077526615406739935
B05,0.02111697962767975,0,0.029859225338237632,0.029975316470319032
B06,0.019469673553391714,0,0.017139631057560403,0.01286773228612411
B09,0.017225514894876906,0,0.016682350469544645,0.01712968569643311
B10,0.04606573862909771,0,0.053704894801768495,0.049210609035731954
B12,0.062365031017626214,0,0.023049155655980657,0.020314695079856667
B20,0.01689359420160959,0,0.017256950026040635,0.012343811144832791
B22,0.019229916321327416,0,0.025121740888389896,0.01836663204412849
Boleodorus_1,0.3117811861488771,1,0.22786037117985922,0.22710143312380274
Bunonema_2,0.8027068199922572,1,0.42476749632855887,0.7134304707088361
Butlerius_1,0.3412391498154617,1,0.23057881929974977,0.22653462542875324
Cephalobus_2,0.1651825792866286,1,0.2232762746457733,0.36172366676358064
Cervidellus_2,0.44446960505053007,1,0.3975464353109476,0.5856276655318756
Chromadorina_2,0.06761466497084415,1,0.0837963001197426,0.08276673688083148
Chronogaster_2,0.19562492068184653,1,0.1663392552161362,0.17850516036930594
Desmolaimus_1,0.8370087800166226,1,0.34180257459687674,0.39705890893687096
Dintheria_1,0.12737897073116733,1,0.11507649493150865,0.14968749438441212
Eucephalobus_3,0.12246011006743307,1,0.20839377903871892,0.17425784574382716
Filenchus_2,0.13961811489643966,1,0.4823402288009678,0.45256026621725287
Haliplectus_1,0.09378856907918363,1,0.36448582872570523,0.362863182360862
Metachromadora_3,0.08605867611273285,1,0.2604600867579084,0.2507719952761878
Microdorylaimus_2,0.10847646314832525,1,0.3050299154788829,0.5168344833470094
Microdorylaimus_3,0.2378257883523246,1,0.6677324977246439,0.7929671066618512
Nematodes_11,0.2988340761669744,1,0.22595498267119773,0.16612812791726383
Nematodes_112,0.05486390737210581,1,0.12227167222113706,0.13756955328167722
Nematodes_116,0.07461643766566721,1,0.238765673889362,0.24509704023856843
Nematodes_12,0.3012017299174688,1,0.20911014348406112,0.17420937896648814
Nematodes_128,0.06164171322308619,1,0.14235345007752523,0.1865046016798378
Nematodes_131,0.04808684084364848,1,0.12962188514918643,0.18055955634044718
Nematodes_139,0.09855493892000781,1,0.2802942809610195,0.21232510807822202
Nematodes_144,0.0813289632420723,1,0.07446201681675772,0.07344308216580125
Nematodes_146,0.08905057084297416,1,0.05319643288710613,0.046634934249408365
Nematodes_167,0.07218244113883844,1,0.23152949602443812,0.23161859425630008
Nematodes_30,0.8895674052325246,1,0.12172237165360678,0.2520475240981273
Nematodes_32,0.8418606246502914,1,0.22049498523472885,0.2932864140167501
Nematodes_40,0.9307803979768032,1,0.29315980249529383,0.3294452603788934
Nematodes_60,0.12628678528150786,1,0.7172855746548064,0.7630690540094995
Nematodes_61,0.0919454783212589,1,0.4984418771587889,0.4862888229066877
Nematodes_78,0.15171816057907844,1,0.21464311283707532,0.34190395999791523
Nematodes_80,0.12106869464210321,1,0.2708702386568037,0.39263565026151287
Nematodes_81,0.9999999999990528,1,0.4123015633111258,0.44490630760209926
Nematodes_84,0.045360918923572455,1,0.13568281179437372,0.2644290799698309
Ogma_3,0.39524663556002787,1,0.24426006553754506,0.26498707433006097
Onchium_1,0.5086220375871565,1,0.2793751119642099,0.29095603755213284
Paracyatholaimus_1,0.10307022584613208,1,0.15640140959885268,0.14510910885504255
Pratylenchus_2,0.2833909100864583,1,0.06618492739175964,0.14636630557860994
Pratylenchus_4,0.20494522598540538,1,0.19271121279837594,0.32963414736394736
Pseudhalenchus_3,0.4674362702511446,1,0.16232916047227772,0.18045388604655827
Rotylenchus_3,0.5992509072275782,1,1.0,1.0
Trophurus_1,0.30469155575085605,1,0.07189287606702649,0.21455976206300115
Xenocriconemella_1,0.17070868977418263,1,0.5925655975530789,0.7113987841504721
Zeldia_1,0.3307757980286376,1,0.17774696586495584,0.1982395741014565
