,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
A01,0.00579463093424831,0,0.010223736209298085,0.007823738804268706
A03,0.003984378122339074,0,0.012325194996290622,0.017486714763201232
A04,0.0026070948632527634,0,0.01514235526247188,0.01415881224754492
A06,7.266111442733051e-05,0,0.025911140259744208,0.016572557538148385
A07,0.00018956653499452373,0,0.014735760244388217,0.009446810401762613
A09,0.0006639604974702357,0,0.032580654493875795,0.02113441308504706
A10,0.05356145171762847,0,0.008458964545905985,0.006426885501249163
A11,0.015346209929422263,0,0.018303835509246642,0.014143026873263041
A12,0.003570679444685298,0,0.03335113625236134,0.0204145863972484
A16,0.004302242441154549,0,0.02242448151005475,0.016558141326795933
A17,0.0034522123886051993,0,0.006175343667659395,0.003965212101989601
A18,0.0015407800948740466,0,0.011782152474359152,0.010133748071178438
A19,0.0015884764174778389,0,0.025893006510800304,0.015014787939167117
A20,0.0013594030538138576,0,0.021028767299757743,0.018925745906567776
A22,0.00016952740577881755,0,0.04068096430146746,0.03569674284627613
A23,0.0013381107442710664,0,0.08958585844244686,0.06098811900676597
Alaimus_2,0.032944932983269865,1,0.15755302168244892,0.13893121519675952
Aphelenchoides_2,0.9999999999999998,1,0.12100629055096365,0.1952715396463473
Aphelenchoides_3,0.28552785125993885,1,0.15362529931376154,0.1416695662558915
B02,0.0009406890905327953,0,0.026523311895135994,0.01746164927395127
B03,6.710151612026772e-05,0,0.008899141138141489,0.007682414932338545
B05,0.00032077849170494556,0,0.01940418055046589,0.012923428759023924
B06,0.0009039237616535096,0,0.023789595732605025,0.014630728548581088
B09,0.004408700843046029,0,0.03312664608011804,0.01701901763060731
B10,0.0039635252355006995,0,0.03769747023884142,0.03490979866307472
B12,0.015445110680136482,0,0.02633312750849402,0.02820552003361145
B20,1.4505062009273319e-05,0,0.014388136985513783,0.010791419985381162
B22,0.0017107405902783784,0,0.020511471747637407,0.01891904917570555
Boleodorus_1,0.00041150241240053853,1,0.12751965144699576,0.1458797906493374
Bunonema_2,0.8494249669571721,1,0.4381981882172488,0.38107240816413074
Butlerius_1,0.2795075872967185,1,0.17687542408667747,0.2334724296703155
Cephalobus_2,0.058951323056071175,1,0.2634422830507439,0.23036982210724102
Cervidellus_2,0.7231770193069217,1,0.3592487463778019,0.2911024172548224
Chromadorina_2,0.030525778072059303,1,0.09323123964599735,0.08398085217248309
Chronogaster_2,0.05391920779397798,1,0.1669141789505665,0.13107514464203757
Desmolaimus_1,0.07043649205678261,1,0.1514333830990147,0.21817853257433165
Dintheria_1,0.06991613294284536,1,0.17939518770581114,0.1637933435231073
Eucephalobus_3,7.971654903862901e-06,1,0.08082635108592078,0.0588414073784016
Filenchus_2,0.003243412342695404,1,0.6353440514210206,0.5185590123230445
Haliplectus_1,0.006836450441358512,1,0.1866118712399082,0.18168243895354
Metachromadora_3,0.001827383801585838,1,0.2605950951212876,0.18510535331957734
Microdorylaimus_2,0.0724533251511395,1,0.45359539134798904,0.4146092228279226
Microdorylaimus_3,0.044540245234152766,1,0.7975839074290783,0.6139175120483764
Nematodes_11,0.18468568409450947,1,0.10573663947988338,0.09592030119299869
Nematodes_112,0.00729458391824135,1,0.09566876694198292,0.08115514646343525
Nematodes_116,0.0031264012411790993,1,0.18437930756124732,0.18395174688691962
Nematodes_12,0.17355722612092303,1,0.10814433930700039,0.09894791104920242
Nematodes_128,0.00042208741372921904,1,0.18674194660382312,0.1741072205388257
Nematodes_131,0.002458309205223953,1,0.17543510808897303,0.18416387420524039
Nematodes_139,0.02155060541159501,1,0.1656170075792782,0.14173552687028768
Nematodes_144,0.004717227733754067,1,0.0562068888173162,0.06240863932868045
Nematodes_146,0.0062003285581124275,1,0.035311873989781375,0.025923541064870128
Nematodes_167,0.00043000558214831053,1,0.2872985697408463,0.25769311067778533
Nematodes_30,0.0744102981204201,1,0.07451592474030634,0.16130588437546586
Nematodes_32,0.24272676381445152,1,0.14965931955799486,0.23443021911105516
Nematodes_40,0.03304469744552738,1,0.1563381622979496,0.22611764059531714
Nematodes_60,0.0007144343458421116,1,0.4064837368510055,0.29202453315009425
Nematodes_61,0.008355993455988038,1,0.19703412796609937,0.12615920226947247
Nematodes_78,0.4763683018090939,1,0.11185767928865767,0.198369733341083
Nematodes_80,0.30720033088877957,1,0.07838826907515888,0.16604192123418707
Nematodes_81,0.01888340013751161,1,0.24043597856510923,0.33767163120969795
Nematodes_84,0.02570644777706261,1,0.03592364143661703,0.0516961533526761
Ogma_3,0.2724318656243117,1,0.10042526014930284,0.15932423420718056
Onchium_1,0.3280775017036827,1,0.1963493423052424,0.17067156941227693
Paracyatholaimus_1,0.003968974065617716,1,0.07039413024485912,0.07864389302925553
Pratylenchus_2,0.11166208471309301,1,0.0882408269926824,0.18243551788521806
Pratylenchus_4,0.0018431669583926322,1,0.1669443273895913,0.18855143560603824
Pseudhalenchus_3,0.19391521187909422,1,0.1195348287572806,0.10043901865249338
Rotylenchus_3,0.07343784762049205,1,1.0,1.0
Trophurus_1,0.056381432927399236,1,0.05998942585405728,0.2532399970316515
Xenocriconemella_1,0.06666788116685524,1,0.6898584056449802,0.5821377642348303
Zeldia_1,0.11320741864587126,1,0.11304473742492635,0.13447261183224404
