,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
A01,0.0070899576020622855,0,0.01015685872292089,0.010279088437519934
A03,0.004875042479583403,0,0.009634496250870326,0.014351136447324978
A04,0.0031898825403648017,0,0.009305837906522025,0.008779778808324168
A06,8.890371560396842e-05,0,0.02025186190803161,0.014567958725220174
A07,0.00023194207036334371,0,0.01210974035743468,0.009824074483036
A09,0.000812381639128293,0,0.022507339713718974,0.024531582240625672
A10,0.06553453120516184,0,0.006306815287482658,0.0076439097631649106
A11,0.01877668810775873,0,0.01307890937708993,0.01364603114217464
A12,0.004368865965862949,0,0.020977265049594112,0.02718944987231814
A16,0.005263961906753525,0,0.02007810459350964,0.02064574829193939
A17,0.004223916888970964,0,0.004186694781603778,0.00519560145894804
A18,0.0018852047128995603,0,0.008896361403816723,0.009062727943989268
A19,0.0019435630292224339,0,0.021177449251561595,0.012596770641614338
A20,0.0016632828086927192,0,0.015587814177784078,0.014961936621901862
A22,0.0002074234119476918,0,0.027967086708399855,0.0443584173128322
A23,0.0016372308351293747,0,0.05237834700325976,0.057398463423654664
B02,0.0011509698968369625,0,0.020711469563816556,0.016747249976495127
B03,8.210132961444798e-05,0,0.004494164710873666,0.00498545920428733
B05,0.00039248503168676425,0,0.013538612500510805,0.013052599654209069
B06,0.0011059860788962216,0,0.015933325696714004,0.016618003547707826
B09,0.005394217925533401,0,0.024573278233129908,0.02128607632232256
B10,0.004849528156886705,0,0.030154554747986007,0.03494878909634813
B12,0.018897697044709585,0,0.024328075827477435,0.03402338456427614
B20,1.7747510726388106e-05,0,0.011325009470050326,0.010332459067517497
B22,0.0020931580269441465,0,0.018058953486847665,0.014219437797622749
Collodictyon triciliatum Still015,0.012476975837132575,1,0.43537852064265803,0.4859619522608019
Colsterium_ehrenbergii_008,0.30019919271066664,1,0.21294227720718495,0.20830031985456082
Colsterium_ehrenbergii_020,0.0063722829865421465,1,0.14504165024087382,0.1219979510513651
Colsterium_ehrenbergii_031,0.25388096921875064,1,0.16180273795760777,0.17096586350642476
Colsterium_ehrenbergii_035,0.3753811822081971,1,0.3039616690770357,0.2869136344635934
Colsterium_ehrenbergii_042,0.9999999999999998,1,0.3063969194017543,0.2936875284177919
Colsterium_ehrenbergii_044,0.9802976895994643,1,0.24093418338749442,0.2415722215125734
Colsterium_ehrenbergii_048,0.02401153219167701,1,0.05642077490623357,0.06475023117685136
Colsterium_ehrenbergii_058,0.4471630831742824,1,0.2195993672384158,0.1902620247454035
Colsterium_ehrenbergii_074,0.05053036117299049,1,0.11116237892015057,0.12452811681692552
Colsterium_ehrenbergii_078,0.3984962513970141,1,0.2556074129911543,0.22563750579273759
Colsterium_ehrenbergii_096,0.16437337223351872,1,0.08975441917350231,0.09881442013700995
Colsterium_ehrenbergii_097,0.9196011880646345,1,0.14028985229529303,0.15552374205393846
Cylindrocystis_brebissonii_015,0.0003990462410548755,1,0.05370652130728211,0.09094565371306375
Cylindrocystis_brebissonii_023,0.29048670966630463,1,0.12394084872019138,0.12630600003622425
Cylindrocystis_brebissonii_033,0.00806425407083916,1,0.24858463514961637,0.31725090014929336
Cylindrocystis_brebissonii_059,0.010515326112022107,1,0.19065356262503452,0.14990509008097208
Cylindrocystis_brebissonii_064,0.012527626684674257,1,0.1287937783202186,0.12371928731358811
Cylindrocystis_brebissonii_082,0.031086535542192078,1,0.09207329254174855,0.06672649746390212
Lepocinclis_spirogyroides_008,0.06032280194104576,1,0.12900449659929367,0.1475799113298129
Lepocinclis_spirogyroides_035,0.44300041262220596,1,0.33974810608924516,0.39246204573755067
Lepocinclis_spirogyroides_043,0.2549102314582469,1,0.1349823393787357,0.12008571618997926
Lepocinclis_spirogyroides_056,0.8072946283242661,1,0.10551027195966309,0.15217277934595574
Lepocinclis_spirogyroides_098,0.3444705711307463,1,0.19168268949749742,0.18689059274126088
Micrasterias_rotata_006,0.005623860758885653,1,0.6381574624740092,0.6561744389159783
Micrasterias_rotata_021,0.0024290014076145633,1,0.24392777536852284,0.2603652838169355
Micrasterias_rotata_023,0.07918743954125369,1,0.1603370203760848,0.20153107570130147
Micrasterias_rotata_026,0.05266150560093217,1,0.5248024604989142,0.5315953724943918
Micrasterias_rotata_027,0.016804296708972828,1,0.5709830108237942,0.5898301422477561
Micrasterias_rotata_046,0.028810030204811723,1,0.4478740714119986,0.45862190748217063
Micrasterias_rotata_050,0.009811817906707678,1,0.23331763368326766,0.3214154178643443
Micrasterias_rotata_052,0.04805954219645541,1,0.17822132962857334,0.22267365232622433
Micrasterias_rotata_066,0.151702429379297,1,0.3448941491119368,0.30029642189406336
Micrasterias_rotata_067,0.12226706002697064,1,0.278840150718277,0.2893772308604963
Micrasterias_rotata_069,0.0014087601875274799,1,0.09600199617274287,0.14131736495054972
Micrasterias_rotata_076,0.048606750741624793,1,0.5799764341712137,0.5973063099014181
Paramecium_bursaria_001,0.047957677670843815,1,0.3082825469937665,0.25926467444248663
Paramecium_bursaria_007,0.014953782809051124,1,0.24773405438317245,0.23293970367227643
Paramecium_bursaria_015,0.007048183780763163,1,0.23500337921523498,0.2350362960978638
Paramecium_bursaria_017,0.06750740829476962,1,0.29820489532418676,0.2716346941854585
Paramecium_bursaria_019,0.0002760121168994289,1,0.1548948663097279,0.12124898797223482
Peridinium_spec_003,0.06162830624364445,1,0.4999739807883269,0.6859563262476078
Peridinium_spec_027,0.05085881419699474,1,0.6441909518487388,0.6719116065575886
Peridinium_spec_029,0.01764277557573471,1,0.5520036324789406,0.5611132391449791
Peridinium_spec_030,0.051759892123592215,1,0.2905561077187985,0.4368880958226137
Peridinium_spec_039,0.09163686410531202,1,0.8769196864269194,0.870840177574554
Peridinium_spec_040,0.36963244546014834,1,0.3689297760526033,0.5180612871701147
Peridinium_spec_049,0.005312720906243986,1,0.8544402495220967,0.8277499668584608
Pinnularia_neomajor_001,0.021059845957307213,1,0.42632234895785015,0.5481030218747078
Pinnularia_neomajor_018,0.07039117283188306,1,0.38840352377421544,0.554697759180637
Pinnularia_neomajor_032,0.004417347948493666,1,0.15189014523095756,0.16960047746178775
Pinnularia_neomajor_033,0.007327149932850351,1,0.1513751655110569,0.17712389321471966
Pinnularia_neomajor_042,0.004512100224201414,1,0.9565392558852795,0.9000330710608296
Pleurotaenium_ehrenbergii_014,0.032612579079612035,1,0.14870711366434058,0.15534534323711163
Pleurotaenium_ehrenbergii_019,0.004632472438921123,1,0.147861503253889,0.18151652991728304
Pleurotaenium_ehrenbergii_046,0.061859319512321244,1,0.27343130642770036,0.299599378028189
Pleurotaenium_ehrenbergii_047,0.0070767804418187304,1,0.477050395586668,0.499161249999713
Pleurotaenium_ehrenbergii_053,0.0032271133965322395,1,0.2398961284462113,0.26485864414959315
Pyrocystis_lunula_007,0.11020899920596097,1,0.5542117212578999,0.511280614684122
Pyrocystis_lunula_012,0.03186544750575071,1,0.14677071836415154,0.14765196922499524
Pyrocystis_lunula_022,0.016677830150774144,1,0.3849183237770644,0.4044842088015963
Pyrocystis_lunula_034,0.004344744319069887,1,0.18331381127517316,0.21874818699017387
Pyrocystis_lunula_039,0.03731653205108612,1,0.17500579548118803,0.19225134196969762
Pyrocystis_lunula_048,0.0004641639906876578,1,0.437183924798161,0.4359058453862655
Pyrocystis_lunula_051,0.013305179205684733,1,0.1655310034326753,0.16161658462454387
Pyrocystis_lunula_066,0.0002932877782493178,1,0.3210447295037109,0.33362266155707054
Pyrocystis_lunula_067,0.025197259173209745,1,0.27147526816149725,0.27776411832716247
Pyrocystis_lunula_068,0.9744876900822264,1,0.8258618049058997,1.0
Pyrocystis_lunula_072,0.040020620664857294,1,0.4526775876616215,0.4575685929658695
Pyrocystis_lunula_075,0.8418479869309626,1,0.7505945596674385,0.8745997683741815
Pyrocystis_lunula_085,0.033635912927745114,1,0.36510903494918323,0.3437241225741516
Pyrocystis_lunula_100,0.0006622608430493534,1,0.28972377605317196,0.29645358946171274
Volvox_tertius_004,0.05165595196069326,1,0.4472142502256508,0.45321318363406077
Volvox_tertius_014,0.0003734298212491422,1,0.42979396232275785,0.46106200078424214
Volvox_tertius_021,0.16212265572133663,1,0.713316040303652,0.704795646420541
Volvox_tertius_026,0.0003096542109307621,1,0.7166877407123045,0.7196659838918222
Volvox_tertius_032,0.0001825744032675838,1,1.0,0.9959076468735104
Volvox_tertius_033,0.012620308998715971,1,0.17429350232028606,0.1871442369357875
Volvox_tertius_041,0.1649746548985085,1,0.9177945698563541,0.9173736799077443
Volvox_tertius_051,0.09480979272710179,1,0.2526591144031091,0.32948586913205224
Volvox_tertius_061,0.0455075040886315,1,0.5595088701858734,0.5670506863701479
Volvox_tertius_063,0.04278399016114448,1,0.7624260639133138,0.772118604804813
