,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
A01,0.002681625934277864,0,0.0006134836162974192,0.0005075262779650658
A03,0.002042294323233798,0,0.0006638010345876757,0.0010441656587144136
A04,0.0013261681386537534,0,0.000714710074595579,0.0006827865466353
A06,2.527021466383547e-05,0,0.0012341207625402443,0.0007991884616410014
A07,5.352463677012373e-05,0,0.0006397283586826892,0.0007500125601388396
A09,0.00034429260532396137,0,0.001825902156482989,0.0013620708509427565
A10,0.027501605059631652,0,0.0004333524450492911,0.00029762724219854016
A11,0.007867389416401704,0,0.0010284822620321616,0.0007415716284189395
A12,0.001817870501827906,0,0.0017136473610399176,0.0013519727270728135
A16,0.0026750377667082706,0,0.0012611651773707221,0.001005257142627179
A17,0.0017612525083247588,0,0.00024592825219887677,0.00020927717117840737
A18,0.0007867007484255346,0,0.0005057624246739042,0.0005239765425401977
A19,0.0007213069278188637,0,0.001184308816548466,0.0010149215685700654
A20,0.0007093088968422563,0,0.0008962916345351558,0.001012945852210016
A22,8.108894121449784e-05,0,0.0023281698166785045,0.0023234728347328866
A23,0.00021612381318394393,0,0.0036002221473063986,0.0026766979712183857
B02,0.0005288499898209064,0,0.0013326837561837479,0.0012971942129845226
B03,2.744853734143894e-05,0,0.00044801386454981323,0.00041487015137357336
B05,0.00015073067855792864,0,0.000698403439421459,0.0007389571422672162
B06,0.00041661539369879785,0,0.0008552982345407116,0.0007198389663318506
B09,0.0022380299500779854,0,0.0016349556436686227,0.0009689481862248752
B10,0.0021361175307988227,0,0.0021457848303806848,0.002490517590260575
B12,0.006829439873997013,0,0.0010055341818348295,0.0011849833349307365
B20,1.1603493920586694e-05,0,0.0007459499717907609,0.0006363729464433155
B22,0.0008279527843571759,0,0.0007989134563360668,0.0008261800911411959
Collodictyon triciliatum Still015,0.000439143867768008,1,0.031320537235081304,0.0288385078935662
Colsterium_ehrenbergii_008,0.11431222582651963,1,0.016448969808673,0.012997046278085947
Colsterium_ehrenbergii_020,0.004528729361390076,1,0.008306420548902077,0.007401660477005756
Colsterium_ehrenbergii_031,0.09416855793612028,1,0.012386987770648691,0.011480370350715374
Colsterium_ehrenbergii_035,0.9566763325954605,1,0.01814587665187457,0.026718600248179132
Colsterium_ehrenbergii_042,0.3123549194469816,1,0.025785405402995985,0.02152066373306829
Colsterium_ehrenbergii_044,0.5600792685337579,1,0.014620485891765435,0.01669123481360418
Colsterium_ehrenbergii_048,0.012695830546354462,1,0.0037399812890889493,0.0036326122557015436
Colsterium_ehrenbergii_058,0.7514814767785337,1,0.009969461355845576,0.01417326026590107
Colsterium_ehrenbergii_074,0.013637503169238348,1,0.007511692958236187,0.009311036964970484
Colsterium_ehrenbergii_078,0.13617390576464536,1,0.018344581954477638,0.017927723492757574
Colsterium_ehrenbergii_096,0.0605440295308199,1,0.006707848116649655,0.006305742471588485
Colsterium_ehrenbergii_097,0.359216457307113,1,0.0080492634947736,0.010676372465525498
Cylindrocystis_brebissonii_015,0.00014107941846913587,1,0.0037431322896428003,0.005535121941816218
Cylindrocystis_brebissonii_023,0.11471968354987516,1,0.0078123829491213445,0.008252434718652443
Cylindrocystis_brebissonii_033,0.012120522948765644,1,0.013417865030312707,0.020573519164799537
Cylindrocystis_brebissonii_059,0.004524778076197506,1,0.012899865115253869,0.011706459361677345
Cylindrocystis_brebissonii_064,0.0018058469326787787,1,0.008058598760052868,0.006186042559905292
Cylindrocystis_brebissonii_082,0.010497699640684251,1,0.005132217192174327,0.003580312520948568
Lepocinclis_spirogyroides_008,0.022602069620744545,1,0.008226298050929084,0.009460921749132266
Lepocinclis_spirogyroides_035,0.677918282396196,1,0.03039201492836342,0.031534553191476605
Lepocinclis_spirogyroides_043,0.16404041620821957,1,0.005798747524704559,0.009046648510231728
Lepocinclis_spirogyroides_056,0.4400000776881445,1,0.007814681079735717,0.009684438644685654
Lepocinclis_spirogyroides_098,0.36578397626021675,1,0.00898078905603819,0.012592973375817523
Micrasterias_rotata_006,0.0019452815893378323,1,0.255307324835988,0.2974942154746698
Micrasterias_rotata_021,0.0034172585734799643,1,0.019096536774527134,0.015474643435438334
Micrasterias_rotata_023,0.03944083425810555,1,0.011615614777964885,0.01177505066431738
Micrasterias_rotata_026,0.020818564692110967,1,0.030865398495689665,0.03225508188810322
Micrasterias_rotata_027,0.006457928791196513,1,0.03552383368363583,0.04489890713995342
Micrasterias_rotata_046,0.012814027579156428,1,0.026558957032757135,0.03110623661706215
Micrasterias_rotata_050,0.017055628926433964,1,0.02008296760619207,0.018705071300907036
Micrasterias_rotata_052,0.024692235821116987,1,0.014747562051733507,0.012578663433166756
Micrasterias_rotata_066,0.11953674035786965,1,0.02464505577448326,0.02055787875252362
Micrasterias_rotata_067,0.10215615573720538,1,0.021409083697873102,0.017447646185034464
Micrasterias_rotata_069,0.0025826226363398794,1,0.008407352021697382,0.008479615775239787
Micrasterias_rotata_076,0.02092113105417999,1,0.04008732450344858,0.04945129618898156
Paramecium_bursaria_001,0.016962278068781426,1,0.02505379345775601,0.01816013436160778
Paramecium_bursaria_007,0.004206770016702045,1,0.01949656785569355,0.013583415503998233
Paramecium_bursaria_015,0.001915955047098845,1,0.01808781467297225,0.013430281623281607
