component_index,eigenvalue_index,mean_eigenvalue,std_dev_eigenvalue,n_features
0,0,0.09657337054281054,0.02390316894919337,21
0,1,0.024234875749224068,0.007655611510819395,21
0,2,0.0084979996859068,0.0033335310968726356,21
0,3,0.004808660272938992,0.001241096546731221,21
0,4,0.002321372405454479,0.0011194029762975233,21
0,5,0.001409136389266377,0.0002920924941694947,21
0,6,0.0008348546550785284,0.0002177131181808828,21
0,7,0.0006225537642195539,0.00017238336838703577,21
0,8,0.00038552351081248273,0.00013207781579363024,21
0,9,0.00022959151969558314,4.85230363836753e-05,21
0,10,0.00014039719284012256,4.263733811443591e-05,21
0,11,9.365674204894799e-05,2.459708034810665e-05,21
0,12,4.516923868962177e-05,9.176163454407237e-06,21
0,13,2.6942360942943147e-05,8.869927944017964e-06,21
0,14,1.2000265499247625e-05,3.498166358118768e-06,21
0,15,8.218583283485771e-06,1.7902809325352707e-06,21
0,16,5.826907820927218e-06,1.3797272260071292e-06,21
0,17,4.08156210756344e-06,9.851143407209007e-07,21
0,18,2.3277436343046967e-06,5.944541659912191e-07,21
0,19,1.433047370649111e-06,1.372914820927389e-07,21
0,20,1.2299474214539015e-06,9.75984257091567e-08,21
1,0,0.19957249162012844,0.20521425254367368,21
1,1,0.03684787153536359,0.02441062013998299,21
1,2,0.0143543153606995,0.011333733278566852,21
1,3,0.004940084305716747,0.0032401046161879177,21
1,4,0.0025275631309967196,0.0020913645510067906,21
1,5,0.001476873176631957,0.0012246623363387228,21
1,6,0.0007964922090963798,0.000589730843784059,21
1,7,0.00045451483879626757,0.00031352239577848783,21
1,8,0.00027316368128231175,0.0001940090879649603,21
1,9,0.00018712342989677451,0.00013098112377404558,21
1,10,0.00011431878468434388,7.729685090506616e-05,21
1,11,6.96845085760934e-05,4.643904769922347e-05,21
1,12,3.327214155218002e-05,2.0079889767805718e-05,21
1,13,1.8258936212482525e-05,1.3588633509368444e-05,21
1,14,7.725215282232662e-06,5.190179471744267e-06,21
1,15,5.589315163172617e-06,3.5082550705827555e-06,21
1,16,4.054943339823633e-06,2.482996485767752e-06,21
1,17,2.763673376591988e-06,1.5216392617549888e-06,21
1,18,1.7011404096007124e-06,6.530801079589139e-07,21
1,19,1.2492164451534956e-06,2.2159550035714756e-07,21
1,20,1.1309158498848236e-06,1.300356564872461e-07,21
2,0,0.2021881786689374,0.12063815908366751,21
2,1,0.05014334043945192,0.025114726211382075,21
2,2,0.019173060991065506,0.012721976049340979,21
2,3,0.007090083443178713,0.00693451071048036,21
2,4,0.0013244885094686218,0.0012958835361779675,21
2,5,0.0006368753197627193,0.0006791673799346576,21
2,6,0.00029872697695700545,0.00042539174948907205,21
2,7,0.00021043784942664925,0.0002940775552872863,21
2,8,0.00011806311400135703,0.00017725374629591685,21
2,9,7.443772567833104e-05,0.00010911945603564928,21
2,10,4.225389809001692e-05,6.039668187925291e-05,21
2,11,2.906514606653989e-05,4.200128314677482e-05,21
2,12,1.646454635109466e-05,2.1993361549789782e-05,21
2,13,9.033837331892274e-06,1.167998517721249e-05,21
2,14,5.012592842648992e-06,5.8324934238803425e-06,21
2,15,3.636625307135379e-06,3.763721530266937e-06,21
2,16,2.556634019092244e-06,2.305589611478396e-06,21
2,17,1.9407094583323657e-06,1.4480883121519229e-06,21
2,18,1.3939780942421338e-06,6.282587864758927e-07,21
2,19,1.1523707847007058e-06,2.622325618740604e-07,21
2,20,1.061366949913085e-06,1.0607632810024299e-07,21
