,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
component_0,0.0,9.73795380316613,5.167220381806849,3.312504887682102,2.6619943505636234,4.852622251181962,6.069207543374948,4.986861372753765,6.978138157660728,2.8550468435855905,6.098490872071984
component_1,9.73795380316613,0.0,7.166777500156584,12.22866409070135,8.180148015896101,6.220198261879673,13.764867306450098,6.185151723147411,4.941441471104265,9.494128704559254,5.747929202595892
component_2,5.167220381806849,7.166777500156584,0.0,6.706998760460641,3.711732875245946,3.9694130729950636,7.035687223402468,3.1778419648728944,3.5293110724708026,3.78205843387205,2.7639936114640915
component_3,3.312504887682102,12.22866409070135,6.706998760460641,0.0,4.884303116008013,7.67753893188694,4.344534427053458,7.4253522861726395,9.349023025229926,3.842858761615245,8.431561186735584
component_4,2.6619943505636234,8.180148015896101,3.711732875245946,4.884303116008013,0.0,3.4400282276894156,6.651771017430997,3.0127982673587534,5.233800867061224,2.0476180934467934,4.296102622769219
component_5,4.852622251181962,6.220198261879673,3.969413072995063,7.67753893188694,3.4400282276894156,0.0,8.95205358550468,2.3539697095623424,3.7179836601681213,4.890324958190655,2.9068913507339027
component_6,6.069207543374948,13.764867306450098,7.035687223402468,4.344534427053458,6.651771017430997,8.95205358550468,0.0,8.250199928388296,9.931937427900047,4.816035521262994,9.144950942214017
component_7,4.986861372753765,6.185151723147411,3.1778419648728944,7.4253522861726395,3.0127982673587534,2.3539697095623424,8.250199928388296,0.0,2.844000174972722,4.001418707189742,2.5307533344805178
component_8,6.978138157660728,4.941441471104265,3.5293110724708026,9.349023025229926,5.233800867061224,3.7179836601681213,9.931937427900047,2.844000174972722,0.0,6.108354096875493,1.7344779917191426
component_9,2.8550468435855905,9.494128704559254,3.78205843387205,3.842858761615245,2.0476180934467934,4.890324958190655,4.816035521262994,4.001418707189742,6.108354096875493,0.0,5.298027940144142
component_10,6.098490872071984,5.747929202595892,2.7639936114640915,8.431561186735584,4.296102622769219,2.9068913507339027,9.144950942214017,2.5307533344805178,1.7344779917191426,5.298027940144142,0.0
