component_index,determinant,relative_volume,n_features
0,4.795417067120459e-77,6.924894993514674e-39,21
1,3.7979278776283454e-78,1.9488273083134752e-39,21
2,2.8384912430599478e-83,5.327749283759464e-42,21
3,5.415858437802708e-84,2.3271996987372416e-42,21
4,2.0437773627380872e-81,4.520815593162463e-41,21
5,1.4294750855273394e-76,1.195606576398499e-38,21
6,1.2012864682885024e-91,3.4659579747719135e-46,21
7,2.0261868177689344e-85,4.5013184932516546e-43,21
8,3.019767416003157e-86,1.7377477998844243e-43,21
9,4.7273822170324373e-82,2.1742544048552453e-41,21
