,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
component_0,0.0,3.1904515240423823,2.129513447943691,3.055998988872218,3.5543183775139897,3.4932704807239205,4.463271318286375,2.5172574985262153,6.45201009648377,7.445343718742961,6.76848683193893
component_1,3.1904515240423823,0.0,3.551352378999128,3.313073098238004,4.561270458057784,3.6670515078061157,4.148882222704487,2.4597058623285273,6.356763840319888,8.900479702984786,7.373036306519138
component_2,2.129513447943691,3.551352378999128,0.0,4.695882317178741,5.200769184402821,2.194072205587654,6.003562034219824,2.234639948726914,5.455569881803852,8.770636609598835,8.473405041677768
component_3,3.055998988872218,3.313073098238004,4.695882317178741,0.0,1.744448367812748,5.733648762568259,2.403101684330465,3.589028813585026,7.895363523839099,6.61294971011137,4.742184262279773
component_4,3.5543183775139897,4.561270458057784,5.200769184402821,1.744448367812748,0.0,6.6834518147316775,2.7850985717821226,4.214094770742464,8.80697822840033,5.037618842445166,3.904972188344824
component_5,3.4932704807239205,3.6670515078061157,2.194072205587654,5.733648762568259,6.6834518147316775,0.0,7.036129614600845,3.274258533660125,4.417275810724266,10.693546925605917,9.877606572160007
component_6,4.463271318286375,4.148882222704487,6.003562034219824,2.403101684330465,2.7850985717821226,7.036129614600845,0.0,5.05424106014391,9.024830693131742,6.45818690015148,3.4619131875283795
component_7,2.5172574985262153,2.4597058623285273,2.234639948726914,3.589028813585026,4.214094770742464,3.274258533660125,5.05424106014391,0.0,5.974078665769732,8.18041392617048,7.693673068966461
component_8,6.45201009648377,6.356763840319888,5.455569881803852,7.895363523839098,8.80697822840033,4.417275810724266,9.024830693131744,5.974078665769733,0.0,12.952717773603936,11.658890885780922
component_9,7.445343718742961,8.900479702984786,8.770636609598835,6.61294971011137,5.037618842445166,10.693546925605917,6.45818690015148,8.18041392617048,12.952717773603936,0.0,4.82226568588525
component_10,6.76848683193893,7.373036306519138,8.473405041677768,4.742184262279773,3.904972188344824,9.877606572160007,3.4619131875283795,7.693673068966461,11.658890885780924,4.82226568588525,0.0
