component_index,determinant,relative_volume,n_features
0,4.92992002392591e-33,7.021338920694479e-17,18
1,6.994683949757459e-28,2.6447464811882176e-14,18
2,4.330378198110816e-33,6.580560916905804e-17,18
3,4.900359990820686e-38,2.2136756742623083e-19,18
4,6.1393480148340346e-30,2.4777707752804806e-15,18
5,1.432257448981831e-37,3.7845177354345045e-19,18
6,3.995085101388754e-34,1.9987708976740566e-17,18
7,1.1273410429461707e-29,3.35758997339784e-15,18
8,1.2717178085242406e-26,1.1277046636971227e-13,18
9,2.0822334099407954e-19,4.5631495810906695e-10,18
10,2.084186683467411e-35,4.565289348406529e-18,18
