,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
202,0.08610708817649053,0,0.11149010638171294,0.06264072614290134
204,0.5466516530707887,0,0.4851048527760866,0.2761324528049902
205,0.07584042248503615,0,0.06440044628134156,0.05297213426250586
206,0.03576524250338661,0,0.09561224421675979,0.06316339539821306
210,0.1397359165627435,0,0.07377592218085913,0.031113685262548513
211,0.07622359878355221,0,0.03565623309875523,0.017506825502326483
212,0.2426829662762605,0,0.2988157029289576,0.17324647667695822
213,0.1292260140613311,0,0.1768389623757382,0.0954842057183996
219,0.06767409845324411,0,0.07407711781778378,0.036626731195398395
221,0.0964754843473467,0,0.1331961108408785,0.07537010381102276
228,0.03498784093798493,0,0.012138433026275382,0.02493851424697367
232,0.08342491721751165,0,0.05073864306102524,0.03862047973604106
233,0.46626384764132695,0,0.3635604756340973,0.23863970474494958
238,0.2940592562593586,0,0.2930729659179724,0.1331101097349703
239,0.02607480726196057,0,0.16893403467518933,0.09054352659235523
252,0.17293789241262314,0,0.10578342139325128,0.05637291706012469
254,0.04419083189336109,0,0.083228644532068,0.05226161556134375
258,0.05345592960198686,0,0.04117940122345438,0.04819645765020463
259,0.5369464384703931,0,0.20535911585676545,0.15780549855443848
261,0.06294156787775082,0,0.06481613109457204,0.03183072276521603
304,0.1888131570335989,0,0.14017015426100002,0.1137420511185345
305,0.4446236291296169,0,0.23963575878954055,0.1295365112804079
310,0.14002938532214979,0,0.2364267532441076,0.1362798505119204
311,0.026970839626281534,0,0.029215510791363048,0.020909029114209037
312,0.8542657122386961,0,0.2837890718974286,0.3960193982434199
202,0.21264994291315284,1,0.2764356061050367,0.30728766231449095
204,0.9653538971054613,1,0.9999999999999998,0.5375261216958418
205,0.05595192184893987,1,0.13573236434434874,0.09780868343789445
206,0.9221565903132579,1,0.6050794470892636,0.9999999999999998
207,0.2553720474660818,1,0.5371821401846963,0.4195667130959685
210,0.14067487721876817,1,0.07387101270957701,0.05637808826921666
211,0.473722409459983,1,0.2087595480740225,0.43965735158019437
212,0.31744034583538017,1,0.3605246667965793,0.26726749140345135
213,0.2128461086638331,1,0.4569727712252797,0.3233064846960933
214,0.10433411323773698,1,0.17600932356423485,0.1416413569730589
215,0.5706002091254694,1,0.35768584482313703,0.6354603053150233
216,0.5748789077202761,1,0.2253799352547998,0.1862621872506462
217,0.0319812726505773,1,0.09427965876246719,0.08582847080306316
219,0.15781917084234034,1,0.3068198865647773,0.24424339297018485
220,0.03720137059328135,1,0.17051729641386443,0.1084758658039696
221,0.31856530851106035,1,0.18529860233973386,0.2551643795666963
222,0.6903935035078731,1,0.9787258463385203,0.7925533470956259
223,0.08430648680537876,1,0.1490145849550576,0.12277108206425859
224,0.29635940949698125,1,0.183311018197693,0.18900894797607748
226,0.6245474940690279,1,0.36722671007475144,0.4105843503024577
227,0.555390813217477,1,0.4152754136846688,0.6998424736290503
228,0.3739277075648748,1,0.23729795721219904,0.33715718608102085
229,0.17742353105416234,1,0.12738861439056687,0.1590351470114425
230,0.19228779833596835,1,0.046514431645143434,0.050823100490499803
231,0.27798851751556974,1,0.2896980896412113,0.3134343515581718
232,0.170429922539695,1,0.15039599368368964,0.1407228050289015
233,0.513009041539798,1,0.5732061971078444,0.32069604253619954
235,0.11621126562221225,1,0.14636729919175576,0.12865115480934075
238,0.418512730865501,1,0.3837592862455434,0.2080252201912291
239,0.6425899449416627,1,0.5845980587761179,0.6364018069273275
240,0.049459481025556806,1,0.05531183669861131,0.03965554202643787
252,0.15848823625418082,1,0.2977340508859497,0.2669086630459627
253,0.4079074080221463,1,0.26451138038002164,0.16933592634415373
254,0.34835618929331214,1,0.22997157867567541,0.262609201109409
256,0.1805583317261093,1,0.13157250766905845,0.09656567136562769
258,0.2192631109118467,1,0.143314601299283,0.17045057614874407
259,0.8370578660069659,1,0.6762316974532947,0.4884444764395461
260,0.3616196133629993,1,0.6172375965875232,0.4839734440422762
261,0.33511047266637656,1,0.17751761946106612,0.270870526490167
301,0.06299763875731135,1,0.20813278741898708,0.13514896096636472
302,0.8552653956722767,1,0.43577398502359643,0.7606921037624663
303,0.338991582853658,1,0.17628946943953397,0.11179600036668515
304,0.347496197084899,1,0.42282116069009656,0.39555159655936745
305,0.5940306985898715,1,0.3740515591729063,0.1874871683241191
306,0.44663130644968596,1,0.47987029031735434,0.4316796858707205
308,0.10234608055960684,1,0.15194139155785838,0.15108718758516665
309,0.2098156948346472,1,0.043327360038154586,0.060193431660308896
310,0.3807933913280596,1,0.4311291572409101,0.37571716272646916
311,0.3837300782353609,1,0.22802883853210595,0.2483110601415275
312,0.9999999999982524,1,0.6584800431717135,0.3609465747057871
