,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
consep_4_TILE_1,0.030969219046807852,0,2.2336321841715122e-07,3.636041568152712e-07
consep_9_TILE_1,0.19852947775416546,0,1.0,1.0
consep_9_TILE_2,0.040369923054471686,0,4.638359232573695e-06,7.229380956571385e-06
crag_10_TILE_34,0.03023032911633103,0,3.7036974454673343e-07,5.25598996015299e-07
crag_11_TILE_10,0.07572942670053125,0,3.563147233283012e-07,4.833001599571949e-07
crag_11_TILE_35,0.033800976937016676,0,3.3807734596976005e-07,4.6811263565126823e-07
crag_12_TILE_31,0.030237127259158836,0,1.2191990950127636e-07,1.9876486480831349e-07
crag_14_TILE_4,0.03951985135435004,0,3.169078271443284e-07,3.654969357411498e-07
crag_14_TILE_7,0.046821861024704745,0,2.3946037151024897e-07,4.512420907017533e-07
crag_16_TILE_16,0.0627795314255071,0,6.672363158878165e-08,2.850715897959783e-07
crag_16_TILE_20,0.05016940787209339,0,1.325454028884021e-07,4.5305799483145123e-07
crag_17_TILE_18,0.06493085572585386,0,6.630353426666619e-06,7.160875045598189e-06
crag_17_TILE_22,0.049631892214218876,0,6.539382672354959e-07,8.55504668110038e-07
crag_17_TILE_32,0.035339539492683605,0,6.635812941595372e-06,1.0097715549186631e-05
crag_18_TILE_13,0.06289838390309442,0,0.00013103606126754297,0.00018854212592548148
crag_18_TILE_23,0.06111681574869147,0,0.00015099413069068966,0.00017886457612309936
crag_18_TILE_30,0.041190255113870665,0,6.326905858842257e-07,8.337644261591442e-07
crag_19_TILE_11,0.03402646171065539,0,1.5094269289320598e-06,1.9990087429427765e-06
crag_19_TILE_4,0.21359691922710392,0,0.0234779131416644,0.06139415146293013
crag_1_TILE_20,0.07012222267643829,0,5.317937609936315e-07,1.0339838384290796e-06
crag_1_TILE_25,0.054696143749194966,0,8.15857465740683e-07,2.1756089700509364e-06
crag_20_TILE_15,0.04457673789701828,0,3.190782577825062e-07,4.0441417008769765e-07
crag_20_TILE_17,0.0656764331750562,0,4.390042873983594e-07,7.166988924754497e-07
crag_21_TILE_30,0.048552015143469796,0,3.868504601711322e-07,5.416968660366617e-07
crag_22_TILE_16,0.043732243350951966,0,1.1517101968122368e-07,1.0912775086243623e-07
crag_23_TILE_10,0.05455831257312367,0,3.3548511571224365e-07,5.114695607945876e-07
crag_23_TILE_33,0.03908455841326689,0,1.3309105563226578e-07,2.3842563656009423e-07
crag_24_TILE_20,0.0403411093047771,0,1.532670877338689e-07,3.2271978856649483e-07
crag_24_TILE_21,0.04559377633473614,0,1.6501158680540782e-07,2.3412847303731727e-07
crag_25_TILE_1,0.07092402030568494,0,1.3069006358695759e-05,1.8581898092285822e-05
crag_25_TILE_16,0.06617490950129917,0,0.0007066538256906513,0.000952085062065077
crag_25_TILE_5,0.13028995993137185,0,0.0002645155622740087,0.0003548801501817418
crag_25_TILE_7,0.05314297639033999,0,2.767517231068996e-06,3.8010989123047444e-06
crag_26_TILE_17,0.07349975284022309,0,9.374456405022923e-07,1.9751456649307202e-06
crag_27_TILE_0,0.045831920723754714,0,2.0763503866862623e-07,2.4672776668089276e-07
crag_28_TILE_18,0.06876760639937984,0,1.7592297996088712e-06,4.314450389097543e-06
crag_28_TILE_26,0.06392690126034344,0,8.568054554120851e-07,1.5643015932252656e-06
crag_28_TILE_3,0.02619295395528062,0,1.929867957563109e-06,2.8911140686783005e-06
crag_29_TILE_0,0.052493637103044284,0,0.00012860817272109876,0.00019822198193569874
crag_29_TILE_20,0.057231228073334486,0,0.00010947582197343076,0.00017961867072097048
crag_29_TILE_22,0.05393049159075477,0,1.1974801224774905e-06,1.5076431863357197e-06
crag_29_TILE_26,0.04641251386668724,0,2.5723457445893654e-07,3.3025828602725733e-07
crag_29_TILE_9,0.04135099419727686,0,8.53584651756586e-07,1.961863788651129e-06
crag_2_TILE_21,0.048201820621725996,0,2.397156005985367e-07,3.244509167429931e-07
crag_2_TILE_35,0.03318532757083634,0,7.774101549023469e-07,9.978976201956583e-07
crag_30_TILE_33,0.12262915573276946,0,8.003634514799802e-06,7.368790357212295e-06
crag_30_TILE_35,0.052304128335979375,0,6.844062773585663e-07,1.155333514001328e-06
crag_30_TILE_5,0.10106907442252792,0,2.2122415713347888e-07,8.487945250975534e-07
crag_32_TILE_35,0.07666191898558306,0,5.458916323797825e-07,7.576425103391692e-07
crag_33_TILE_22,0.12186090276758685,0,0.00030096474124379174,0.0005547775859699325
crag_33_TILE_32,0.2184600289202503,0,0.0002793816673908155,0.0005351088729244562
crag_34_TILE_17,0.05144554110671721,0,3.381022155173504e-07,4.736499794415246e-07
crag_34_TILE_23,0.043956255932328055,0,1.3629222513709356e-07,3.19456827267093e-07
crag_34_TILE_5,0.029553541382466915,0,2.3288246290341028e-07,3.928149432337459e-07
crag_35_TILE_13,0.04332426227369615,0,4.2865172506519504e-07,5.822160198031509e-07
crag_36_TILE_19,0.06185929789777763,0,4.968047490845097e-07,1.0100347671637104e-06
crag_36_TILE_33,0.06276109862763841,0,1.6942481511807542e-06,5.520746705830727e-06
crag_39_TILE_33,0.037461498691529385,0,1.520269309956079e-07,1.9880750109547857e-07
crag_39_TILE_34,0.046881075621733,0,2.8684773243817404e-07,3.719552253522758e-07
crag_39_TILE_4,0.03468716294266644,0,7.411742806315072e-08,2.3149827395471676e-07
crag_3_TILE_2,0.044995019063099585,0,0.00018097177477422293,0.0002097947838715117
crag_3_TILE_28,0.059173147336210236,0,0.0001175165898930789,0.00017560432346002582
