feature,mode,auroc,delta
ALL_FEATURES,baseline,0.9099336786561456,0.0
moran,removal,0.9039308708912234,-0.0060028077649222356
entropy,removal,0.9173887786222588,0.0074550999661131545
eds,removal,0.9097400396959868,-0.0001936389601587818
mean,removal,0.9313065788836714,0.021372900227525804
above_threshold_mean_0.3,removal,0.9004453696083652,-0.009488309047780419
above_threshold_mean_0.5,removal,0.9109502831969792,0.0010166045408336322
above_threshold_mean_0.7,removal,0.9035677978409256,-0.0063658808152200486
above_threshold_mean_0.9,removal,0.9139032773394006,0.003969598683254971
above_threshold_mean_0.95,removal,0.9056978264026722,-0.004235852253473449
above_quantile_mean_0.3,removal,0.9048990656920173,-0.005034612964128327
above_quantile_mean_0.5,removal,0.9033741588807668,-0.00655951977537883
above_quantile_mean_0.7,removal,0.9273611850704361,0.017427506414290472
above_quantile_mean_0.9,removal,0.9176066224524374,0.007672943796291798
above_quantile_mean_fg_ratio,removal,0.9055041874425134,-0.004429491213632231
patch_aggregation_10,removal,0.9065692017233868,-0.0033644769327587642
patch_aggregation_20,removal,0.9192283487437672,0.009294670087621637
patch_aggregation_40,removal,0.8972261218957254,-0.012707556760420236
patch_aggregation_80,removal,0.8994287650675317,-0.01050491358861394
patch_aggregation_100,removal,0.9091833276855303,-0.0007503509706152656
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.888851236868858,-0.021082441787287576
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.9040761001113424,-0.005857578544803177
moran,standalone,0.9017040228493972,-0.008229655806748393
entropy,standalone,0.7959771506027011,-0.11395652805344447
eds,standalone,0.7892966064772231,-0.1206370721789225
mean,standalone,0.5051314324442078,-0.40480224621193783
above_threshold_mean_0.3,standalone,0.7619693082248148,-0.14796437043133082
above_threshold_mean_0.5,standalone,0.6586871278501235,-0.2512465508060221
above_threshold_mean_0.7,standalone,0.7825676526117055,-0.12736602604444014
above_threshold_mean_0.9,standalone,0.7116715883235707,-0.19826209033257491
above_threshold_mean_0.95,standalone,0.6662753546013458,-0.2436583240547998
above_quantile_mean_0.3,standalone,0.5047925642639299,-0.4051411143922157
above_quantile_mean_0.5,standalone,0.5099482015781576,-0.39998547707798804
above_quantile_mean_0.7,standalone,0.5235029287892724,-0.3864307498668732
above_quantile_mean_0.9,standalone,0.6469235610204773,-0.2630101176356683
above_quantile_mean_fg_ratio,standalone,0.45623759500411487,-0.45369608365203073
patch_aggregation_10,standalone,0.7887640993367866,-0.12116957931935901
patch_aggregation_20,standalone,0.7825918574817252,-0.1273418211744204
patch_aggregation_40,standalone,0.7417824466282616,-0.16815123202788396
patch_aggregation_80,standalone,0.7159800551871036,-0.193953623469042
patch_aggregation_100,standalone,0.6826015394297332,-0.22733213922641238
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.58440238175921,-0.3255312968969356
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.5208645979571089,-0.3890690806990367
