feature,mode,auroc,delta
ALL_FEATURES,baseline,0.9551633191316697,0.0
moran,removal,0.9423818218705621,-0.012781497261107666
entropy,removal,0.9592209373097992,0.004057618178129441
eds,removal,0.9433962264150944,-0.01176709271657539
mean,removal,0.9364982755122744,-0.01866504361939536
above_threshold_mean_0.3,removal,0.9588151754919862,0.0036518563603165077
above_threshold_mean_0.5,removal,0.9458307973219721,-0.00933252180969768
above_threshold_mean_0.7,removal,0.9545546764049504,-0.0006086427267193439
above_threshold_mean_0.9,removal,0.9362953946033679,-0.018867924528301883
above_threshold_mean_0.95,removal,0.9578007709474539,0.00263745181578412
above_quantile_mean_0.3,removal,0.8508825319537432,-0.10428078717792655
above_quantile_mean_0.5,removal,0.8748224792047068,-0.08034083992696295
above_quantile_mean_0.7,removal,0.923919659160073,-0.031243659971596727
above_quantile_mean_0.9,removal,0.9578007709474539,0.00263745181578412
above_quantile_mean_fg_ratio,removal,0.9679448163927774,0.012781497261107666
patch_aggregation_10,removal,0.9166159464394401,-0.03854737269222963
patch_aggregation_20,removal,0.9551633191316699,1.1102230246251565e-16
patch_aggregation_40,removal,0.957395009129641,0.002231689997971298
patch_aggregation_80,removal,0.9298032055183607,-0.025360113613309032
patch_aggregation_100,removal,0.9563806045851085,0.001217285453438799
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.9590180564008928,0.0038547372692230297
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.9638871982146481,0.008723879082978336
moran,standalone,0.7961046865489958,-0.15905863258267394
entropy,standalone,0.6234530330695881,-0.33171028606208164
eds,standalone,0.501724487725705,-0.45343883140596475
mean,standalone,0.9332521809697708,-0.021911138161898935
above_threshold_mean_0.3,standalone,0.3649827551227429,-0.5901805640089268
above_threshold_mean_0.5,standalone,0.436802596875634,-0.5183607222560358
above_threshold_mean_0.7,standalone,0.5,-0.45516331913166974
above_threshold_mean_0.9,standalone,0.5,-0.45516331913166974
above_threshold_mean_0.95,standalone,0.5,-0.45516331913166974
above_quantile_mean_0.3,standalone,0.9332521809697708,-0.021911138161898935
above_quantile_mean_0.5,standalone,0.9334550618786772,-0.021708257252992524
above_quantile_mean_0.7,standalone,0.9332521809697708,-0.021911138161898935
above_quantile_mean_0.9,standalone,0.9332521809697708,-0.021911138161898935
above_quantile_mean_fg_ratio,standalone,0.5727328058429701,-0.3824305132886996
patch_aggregation_10,standalone,0.8539257455873404,-0.10123757354432938
patch_aggregation_20,standalone,0.9310204909717996,-0.024142828159870122
patch_aggregation_40,standalone,0.9322377764252383,-0.022925542706431434
patch_aggregation_80,standalone,0.9332521809697708,-0.021911138161898935
patch_aggregation_100,standalone,0.9332521809697708,-0.021911138161898935
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.5713126394806249,-0.3838506796510448
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.5713126394806249,-0.3838506796510448
