feature,mode,auroc,delta
ALL_FEATURES,baseline,0.9966666666666667,0.0
moran,removal,0.9904273504273504,-0.006239316239316284
entropy,removal,0.9944444444444445,-0.0022222222222222365
eds,removal,0.9943589743589744,-0.002307692307692344
mean,removal,0.9989743589743589,0.002307692307692233
above_threshold_mean_0.3,removal,0.9955555555555555,-0.0011111111111111738
above_threshold_mean_0.5,removal,0.9953846153846155,-0.0012820512820511665
above_threshold_mean_0.7,removal,0.9938461538461539,-0.002820512820512766
above_threshold_mean_0.9,removal,0.9954700854700855,-0.0011965811965811701
above_threshold_mean_0.95,removal,0.9948717948717949,-0.0017948717948718107
above_quantile_mean_0.3,removal,0.9953846153846153,-0.0012820512820513885
above_quantile_mean_0.5,removal,0.9951282051282051,-0.0015384615384615996
above_quantile_mean_0.7,removal,0.9943589743589744,-0.002307692307692344
above_quantile_mean_0.9,removal,0.9967521367521368,8.547008547010737e-05
above_quantile_mean_fg_ratio,removal,0.9950427350427351,-0.001623931623931596
patch_aggregation_10,removal,0.9930769230769232,-0.0035897435897435104
patch_aggregation_20,removal,0.9939316239316239,-0.0027350427350427697
patch_aggregation_40,removal,0.992991452991453,-0.0036752136752137288
patch_aggregation_80,removal,0.9964957264957264,-0.00017094017094032576
patch_aggregation_100,removal,0.9961538461538462,-0.0005128205128205332
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.9951282051282051,-0.0015384615384615996
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.9882051282051282,-0.00846153846153852
moran,standalone,0.9042735042735043,-0.09239316239316242
entropy,standalone,0.8127350427350426,-0.1839316239316241
eds,standalone,0.8108547008547009,-0.1858119658119658
mean,standalone,0.8639316239316239,-0.13273504273504277
above_threshold_mean_0.3,standalone,0.8847863247863249,-0.1118803418803418
above_threshold_mean_0.5,standalone,0.812991452991453,-0.18367521367521367
above_threshold_mean_0.7,standalone,0.7887179487179489,-0.20794871794871783
above_threshold_mean_0.9,standalone,0.7472649572649573,-0.24940170940170936
above_threshold_mean_0.95,standalone,0.5907692307692308,-0.4058974358974359
above_quantile_mean_0.3,standalone,0.8703418803418804,-0.12632478632478628
above_quantile_mean_0.5,standalone,0.8744444444444444,-0.12222222222222234
above_quantile_mean_0.7,standalone,0.8776068376068377,-0.11905982905982904
above_quantile_mean_0.9,standalone,0.8945299145299146,-0.10213675213675211
above_quantile_mean_fg_ratio,standalone,0.8452991452991453,-0.1513675213675214
patch_aggregation_10,standalone,0.7100854700854701,-0.28658119658119663
patch_aggregation_20,standalone,0.5984615384615384,-0.3982051282051283
patch_aggregation_40,standalone,0.7122222222222223,-0.2844444444444444
patch_aggregation_80,standalone,0.6776068376068376,-0.3190598290598291
patch_aggregation_100,standalone,0.7269230769230769,-0.2697435897435898
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.8901709401709401,-0.10649572649572658
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.8901709401709401,-0.10649572649572658
