feature,mode,auroc,delta
ALL_FEATURES,baseline,0.9990208078335373,0.0
moran,removal,0.996670746634027,-0.0023500611995103116
entropy,removal,0.9957405140758874,-0.0032802937576499325
eds,removal,0.9950550795593636,-0.003965728274173741
mean,removal,0.9917747858017136,-0.0072460220318236734
above_threshold_mean_0.3,removal,0.9964259485924113,-0.002594859241126013
above_threshold_mean_0.5,removal,0.9966217870257038,-0.0023990208078334962
above_threshold_mean_0.7,removal,0.9969155446756427,-0.00210526315789461
above_threshold_mean_0.9,removal,0.9968176254589962,-0.0022031823745410906
above_threshold_mean_0.95,removal,0.9913831089351285,-0.007637698898408818
above_quantile_mean_0.3,removal,0.995544675642595,-0.003476132190942338
above_quantile_mean_0.5,removal,0.9958873929008568,-0.0031334149326804894
above_quantile_mean_0.7,removal,0.9980905752753979,-0.0009302325581393989
above_quantile_mean_0.9,removal,0.9917747858017136,-0.0072460220318236734
above_quantile_mean_fg_ratio,removal,0.998139534883721,-0.0008812729498163252
patch_aggregation_10,removal,0.9961811505507956,-0.0028396572827417144
patch_aggregation_20,removal,0.997062423500612,-0.001958384332925278
patch_aggregation_40,removal,0.996279069767442,-0.002741738066095345
patch_aggregation_80,removal,0.9986291309669523,-0.0003916768665850334
patch_aggregation_100,removal,0.9968176254589963,-0.0022031823745409795
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.9961321909424725,-0.002888616891064788
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.997062423500612,-0.001958384332925278
moran,standalone,0.9112851897184823,-0.08773561811505504
entropy,standalone,0.8771113831089351,-0.1219094247246022
eds,standalone,0.8149816401468789,-0.1840391676866584
mean,standalone,0.9193145654834761,-0.07970624235006118
above_threshold_mean_0.3,standalone,0.8855324357405141,-0.1134883720930232
above_threshold_mean_0.5,standalone,0.8228151774785801,-0.17620563035495718
above_threshold_mean_0.7,standalone,0.8007833537331701,-0.1982374541003672
above_threshold_mean_0.9,standalone,0.757405140758874,-0.2416156670746633
above_threshold_mean_0.95,standalone,0.6116523867809057,-0.3873684210526316
above_quantile_mean_0.3,standalone,0.9234271725826193,-0.075593635250918
above_quantile_mean_0.5,standalone,0.925434516523868,-0.07358629130966932
above_quantile_mean_0.7,standalone,0.9273929008567932,-0.07162790697674415
above_quantile_mean_0.9,standalone,0.9227417380660954,-0.07627906976744192
above_quantile_mean_fg_ratio,standalone,0.7877600979192166,-0.21126070991432067
patch_aggregation_10,standalone,0.762594859241126,-0.23642594859241128
patch_aggregation_20,standalone,0.6662913096695227,-0.33272949816401465
patch_aggregation_40,standalone,0.8134149326805385,-0.18560587515299876
patch_aggregation_80,standalone,0.8255079559363525,-0.1735128518971848
patch_aggregation_100,standalone,0.8569400244798042,-0.1420807833537331
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.8948347613219093,-0.104186046511628
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.8948347613219093,-0.104186046511628
