feature,mode,auroc,delta
ALL_FEATURES,baseline,0.46485125458461896,0.0
moran,removal,0.4544012342085346,-0.010450020376084335
entropy,removal,0.44108400768469463,-0.02376724689992432
eds,removal,0.4718373406299121,0.006986086045293161
mean,removal,0.4181026954648658,-0.046748559119753175
above_threshold_mean_0.3,removal,0.4271554986318915,-0.03769575595272745
above_threshold_mean_0.5,removal,0.4155411305815917,-0.049310124003027256
above_threshold_mean_0.7,removal,0.45112650637480356,-0.013724748209815396
above_threshold_mean_0.9,removal,0.45742853816149504,-0.007422716423123921
above_threshold_mean_0.95,removal,0.4590731792513245,-0.005778075333294441
above_quantile_mean_0.3,removal,0.4504570064621296,-0.01439424812248935
above_quantile_mean_0.5,removal,0.44916166967456483,-0.015689584910054122
above_quantile_mean_0.7,removal,0.43197298713395826,-0.03287826745066069
above_quantile_mean_0.9,removal,0.4194999126739244,-0.045351341910694565
above_quantile_mean_fg_ratio,removal,0.4132560982709437,-0.05159515631367528
patch_aggregation_10,removal,0.4706147755719858,0.005763520987366821
patch_aggregation_20,removal,0.44053094253944225,-0.024320312045176706
patch_aggregation_40,removal,0.45722477731850736,-0.007626477266111598
patch_aggregation_80,removal,0.46355591779705424,-0.001295336787564716
patch_aggregation_100,removal,0.43919194271409445,-0.025659311870524504
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.4973074460033766,0.03245619141875766
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",removal,0.4144058915992316,-0.050445362985387376
moran,standalone,0.33355649997089126,-0.1312947546137277
entropy,standalone,0.4664376782907377,0.0015864237061187225
eds,standalone,0.47215753624032136,0.007306281655702407
mean,standalone,0.6034813995459045,0.13863014496128556
above_threshold_mean_0.3,standalone,0.45425569074925776,-0.0105955638353612
above_threshold_mean_0.5,standalone,0.4372562147057111,-0.02759503987890788
above_threshold_mean_0.7,standalone,0.49160214239972055,0.0267508878151016
above_threshold_mean_0.9,standalone,0.39446643767829076,-0.0703848169063282
above_threshold_mean_0.95,standalone,0.39202130756243814,-0.07282994702218082
above_quantile_mean_0.3,standalone,0.4508354194562496,-0.014015835128369347
above_quantile_mean_0.5,standalone,0.4325988240088491,-0.032252430575769875
above_quantile_mean_0.7,standalone,0.40749257728357685,-0.057358677301042105
above_quantile_mean_0.9,standalone,0.45635151656284567,-0.008499738021773284
above_quantile_mean_fg_ratio,standalone,0.5148745415381033,0.05002328695348435
patch_aggregation_10,standalone,0.4188595214531059,-0.04599173313151306
patch_aggregation_20,standalone,0.5124003027303954,0.04754904814577643
patch_aggregation_40,standalone,0.4933777726028992,0.028526518018280267
patch_aggregation_80,standalone,0.4717354602084182,0.006884205623799267
patch_aggregation_100,standalone,0.4409821272632008,-0.02386912732141816
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.5502634336612913,0.08541217907667231
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",standalone,0.44571956686266523,-0.019131687721953727
