,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
ADE_val_00000001,0.16024387016524871,0,1.9637610742579216e-05,1.1929802261590092e-05
ADE_val_00000005,0.34603153917241364,0,5.034889894447903e-07,1.881022236426193e-08
ADE_val_00000007,0.2937673405745414,0,6.589356723209355e-06,8.799003606183601e-06
ADE_val_00000009,0.10773574581475524,0,1.8585902892706766e-05,1.6087039318200317e-05
ADE_val_00000010,0.5057261568552748,0,1.6123648749342144e-05,2.1347618095034865e-05
ADE_val_00000011,0.24160936555696166,0,2.158190720528424e-05,1.999545839219673e-05
ADE_val_00000015,0.17413891781110807,0,4.9881787645269735e-06,6.309399054393413e-06
ADE_val_00000019,0.2936167806107407,0,1.913516014454488e-05,2.080422656563276e-05
ADE_val_00000025,0.20559340820633898,0,1.637637024517868e-05,3.491805729296552e-05
ADE_val_00000026,0.1609315700035878,0,2.259622674176649e-05,2.0243708997088313e-05
ADE_val_00000027,0.17115960071008493,0,5.9326217478388e-06,7.719739249354008e-06
ADE_val_00000029,0.31306138118277127,0,1.4586453075686713e-05,2.777839759053078e-05
ADE_val_00000031,0.06673198906301889,0,1.824474810402084e-05,1.80439284372531e-05
ADE_val_00000032,0.011327807409620777,0,1.0341249117122541e-05,1.2865628597150783e-05
ADE_val_00000033,0.6195746782711021,0,6.825453263408494e-06,9.510250112485448e-06
ADE_val_00000037,0.1778854342620224,0,1.2871596095183884e-05,1.4298054845574767e-05
ADE_val_00000039,0.26363326755718125,0,1.4671137548836891e-05,1.108253232986811e-05
ADE_val_00000040,0.036815976734484855,0,2.4740904567556815e-05,1.9061628183224496e-05
ADE_val_00000041,0.2691524628583646,0,1.098627395864868e-05,9.119022523422267e-06
ADE_val_00000044,0.15332546695263705,0,1.5630141881464217e-05,1.9111221719310853e-05
ADE_val_00000046,0.2423656222148617,0,1.1418010429787813e-05,1.5157096284281003e-05
ADE_val_00000047,0.20259165529937842,0,4.721268802363919e-06,8.681985774707118e-06
ADE_val_00000048,0.3958554798266352,0,7.175896419533797e-06,6.804479882496864e-06
ADE_val_00000049,0.27304056011720723,0,5.66042950939062e-06,5.460631804090817e-06
ADE_val_00000051,0.035186192132443755,0,5.347190075252273e-06,6.703093794811007e-06
ADE_val_00000054,0.07803636881590317,0,3.023913927299278e-05,2.408120156757309e-05
ADE_val_00000056,0.0573417043328904,0,8.150301526853816e-06,7.414920211032873e-06
ADE_val_00000057,0.011187665124784573,0,2.109640928883402e-05,1.8707850983157062e-05
ADE_val_00000058,0.3185629171845289,0,1.8486511199240896e-05,2.1998335696423986e-05
ADE_val_00000059,0.27092744035037425,0,2.8319765831724372e-05,2.383001316370859e-05
ADE_val_00000061,0.4365160212565721,0,2.7987107000838425e-05,3.085283343686794e-05
ADE_val_00000062,0.2188958974219576,0,1.9432852634541126e-05,3.2276316734011476e-05
ADE_val_00000065,0.15146740246585944,0,1.3754037245752808e-05,1.5669722028897363e-05
ADE_val_00000068,0.06080970830222575,0,1.9525303967539172e-05,2.398203059025321e-05
ADE_val_00000071,0.23883117162231243,0,9.855760141835605e-06,1.753628318016432e-05
ADE_val_00000072,0.12777813278394656,0,1.955454981010003e-05,2.648402555574603e-05
ADE_val_00000073,0.053485146877367315,0,7.830025063837161e-06,1.0284426482953733e-05
ADE_val_00000074,0.16563608005212196,0,1.9032122848021188e-05,1.4337998890615711e-05
ADE_val_00000076,0.07450422744090782,0,1.7094559687036974e-05,1.5386757430552802e-05
ADE_val_00000077,0.025798647585636977,0,1.6366197568478852e-05,1.5186022825263833e-05
ADE_val_00000078,0.1515920993625994,0,2.794272888341528e-06,6.740243324129659e-06
ADE_val_00000079,0.15169416257050344,0,1.3922831997122276e-05,1.720696878626013e-05
ADE_val_00000080,0.31318720624772584,0,7.261419704279811e-06,8.200482699731552e-06
ADE_val_00000081,0.026400924685647167,0,1.5537320287890465e-05,2.8173172855083982e-05
ADE_val_00000084,0.08078148377193226,0,1.3326614071963367e-05,1.3961348035794924e-05
ADE_val_00000085,0.42123849564327687,0,4.373821858826688e-06,9.360185276263388e-06
ADE_val_00000086,0.2390587784068804,0,2.0234789691458065e-05,1.890858473406437e-05
ADE_val_00000089,0.31282107477960075,0,2.9348528842117254e-05,2.654163873946905e-05
ADE_val_00000090,0.1738187523354672,0,1.6728370701847233e-05,1.9647104136003694e-05
ADE_val_00000093,0.10197569141948944,0,4.246540805431693e-06,5.57013734063954e-06
ADE_val_00000095,0.2631289432386262,0,6.810105234600791e-06,8.689716655881644e-06
ADE_val_00000096,0.40127254818047814,0,3.887896210636143e-05,6.022914432783446e-05
