,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
202,0.03361367959061455,0,0.04816115638397221,0.08412056189396504
204,0.49843505986328485,0,0.7504906062945761,1.0
205,0.028885431977983038,0,0.13736272437248562,0.20928696715962583
206,0.0454739731464573,0,0.029794489926201886,0.02815648167560634
210,0.14475145485635674,0,0.07979205694353034,0.10601780601961129
21,0.028351905054492768,0,0.20897634667567394,0.22790127037538538
212,0.06084821103701527,0,0.3182777153303205,0.39083459439686424
213,0.031077854936573553,0,0.05398025572110319,0.06988397329844613
219,0.029940540680763968,0,0.14450755880737468,0.2087926931085594
22,0.056322527530070776,0,0.02305631794444783,0.033504520875289476
228,0.021960020208993684,0,0.03144537378441028,0.05204495598266365
232,0.03912326363478759,0,0.02507150853806944,0.04144725115870448
233,0.40693334438899353,0,0.5764012842054579,0.989992524434074
238,0.079077368686004,0,0.09646619775264803,0.125553290034077
239,0.09745857013216248,0,0.17516676705533804,0.27869688441533536
252,0.06273117839742559,0,0.032067442695722086,0.06946154227300046
254,0.01996270396882228,0,0.10241442593227665,0.1761487131421454
258,0.01986371506243658,0,0.04930004294100822,0.03865793925387046
259,0.05759596988490716,0,0.3383973453443626,0.43499564514212546
26,0.018859852473035867,0,0.1562062379529361,0.15611291285870202
304,0.11621395293051842,0,0.4885543699912553,0.522499943394811
305,0.33371752798890303,0,0.16971277289803274,0.3838302107975186
310,0.021520175719335143,0,0.0453218420531632,0.06487470285995332
31,0.037088418778674435,0,0.023989908047826938,0.03178495143195029
312,0.2825289552391941,0,0.5326734153304723,0.8956242819785049
202,0.4639689691892189,1,0.12244787078061184,0.18041488465578817
204,0.5290221038417976,1,0.7027961678409629,0.8616056644922337
205,0.780595737895469,1,0.03706459236771747,0.16343220455283783
206,0.6292376232438076,1,0.13921208632224416,0.2970399016182405
207,0.10259482515781956,1,0.055185426040854316,0.06179646009547833
210,0.7648653874803626,1,1.0,0.8907509691942964
211,0.6686113800868692,1,0.04118381378422562,0.2574083227305173
212,0.6633860763956501,1,0.6023399218889706,0.7996798652389718
213,0.7809896381515017,1,0.7087907570033788,0.7139101032565509
214,0.9148855420218238,1,0.1254618868131785,0.26952394786513706
215,0.6594099264277986,1,0.24963898227597592,0.42080710362225876
216,0.8818469811595322,1,0.6515817915687481,0.6645106536989704
217,0.14831426494976652,1,0.09246069920552258,0.14080724621126375
219,0.9021809679869255,1,0.9186407647421588,0.8356370872516107
220,0.06868299300964884,1,0.04499578833860261,0.05553668772879203
221,0.6438230388079941,1,0.13935047417836866,0.3230585274433844
222,0.9999999999987355,1,0.5113866498560063,0.611019488301323
223,0.1847264013174693,1,0.4008716462611364,0.4373442717246099
224,0.7553107327797131,1,0.35292860965984807,0.5995464033945103
226,0.8276878950427622,1,0.6406920250603669,0.6295643635376784
227,0.23471979528198883,1,0.22805958755782657,0.3193242819329065
228,0.322060521305098,1,0.04672492578663077,0.08967181733390148
229,0.27937625207384376,1,0.04410041231642536,0.0647099020158951
230,0.15432480040317761,1,0.8734695806579102,0.6897346962959586
231,0.6294964608491375,1,0.15883519001845892,0.28984371303524714
232,0.792202080617336,1,0.2038202693365296,0.34932380472522434
233,0.28340528414707405,1,0.6607780471446821,0.8577318518741646
235,0.7982845589950787,1,0.1274826637919373,0.2536478738948167
238,0.5539794429361469,1,0.8077376214124165,0.9875166593504648
239,0.7367259049719477,1,0.7138007422098845,0.7579556906030201
240,0.1487929304331519,1,0.09435306824104957,0.13913398002415356
252,0.22906197263853517,1,0.1129508501826381,0.1758425344025358
253,0.8046609520872633,1,0.45982054281002666,0.6759489997285069
254,0.7743130308711317,1,0.13026469944276145,0.23159063699180735
256,0.9463575452586804,1,0.05207379312947486,0.19487198215756096
258,0.7344624926574892,1,0.11724432172987036,0.26241522683398677
259,0.6319251046035187,1,0.8756008364256198,0.7239865028458439
260,0.9556990022657829,1,0.8258886877517777,0.9112427369187699
261,0.2649655418270405,1,0.2974488650361114,0.2838925925288748
301,0.21986212905922553,1,0.15059273001684775,0.26360137177622306
302,0.11438363665078179,1,0.11998853968051812,0.15852937640427336
303,0.7231245528441868,1,0.7176159663387514,0.718407098722305
304,0.6396246906057296,1,0.8631605603790625,0.8499971813653684
305,0.8477880609858657,1,0.6847572155051411,0.9748414499826693
306,0.8462428153368506,1,0.5952525283629415,0.7094947547978148
308,0.08724549504045595,1,0.17864655975507415,0.2163980103991831
309,0.1712250725433706,1,0.5155302979795691,0.8223590160071899
310,0.6205423305846992,1,0.054808290539991894,0.2301625273405751
311,0.8164058993099564,1,0.1822497176843742,0.33087507922417864
312,0.7274778727497176,1,0.8105997196849639,0.8220665725264112
