,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
consep_4_TILE_1,0.015625033375073615,0,0.0036236311591401984,0.0029925589721234457
consep_9_TILE_1,0.1266219685548344,0,0.06294556924086671,0.10169373129407028
consep_9_TILE_2,0.008370916235840584,0,0.01935245285403548,0.02596723195873634
crag_10_TILE_34,0.0482249347314407,0,0.008186491262270536,0.0072490104558787976
crag_11_TILE_10,0.07295792443189889,0,0.0010472301930319029,0.0012735089223345636
crag_11_TILE_35,0.006250377893991518,0,0.0022314575335048085,0.0018575011321591243
crag_12_TILE_31,0.023082171924611636,0,0.0034268932209885,0.004053002537155124
crag_14_TILE_4,0.006675130863587551,0,0.0,0.0
crag_14_TILE_7,0.023988527138179245,0,0.001411676663748523,0.0010818298969613375
crag_16_TILE_16,0.021416033300134696,0,0.0004573272034310042,0.0011393550459561587
crag_16_TILE_20,0.06424904174904329,0,0.0031075325325417213,0.0015795167618146975
crag_17_TILE_18,0.04654684798266391,0,0.009828260951891795,0.01755988343190671
crag_17_TILE_22,0.02002833688286289,0,0.005442029865692759,0.005156114200349048
crag_17_TILE_32,0.1005432824785046,0,0.01980833991768291,0.025252345462825385
crag_18_TILE_13,0.07025578524745715,0,0.0037907452878475005,0.0034869686300786776
crag_18_TILE_23,0.05207557333400776,0,0.005307366827183786,0.004503919699665742
crag_18_TILE_30,0.005890344239939624,0,0.0015054378358119922,0.0015121278324305124
crag_19_TILE_11,0.026902828542053184,0,0.013218408674397246,0.015433967870765604
crag_19_TILE_4,0.2615922734867506,0,0.5024782791103736,0.4785998232945523
crag_1_TILE_20,0.027612750318924115,0,0.0019817153131965405,0.001392169826533597
crag_1_TILE_25,0.010423248808050173,0,0.006625927820023515,0.008483962543972105
crag_20_TILE_15,0.04268158671886885,0,0.0025348276391274414,0.0019708638516898985
crag_20_TILE_17,0.07211283711926933,0,0.002224524975247679,0.0018719788846204934
crag_21_TILE_30,0.0027417423294590344,0,0.004107993081381509,0.0028663708184144387
crag_22_TILE_16,0.004493634287188447,0,0.00036181635859704707,0.0002897485637674882
crag_23_TILE_10,0.07035407178287287,0,0.0061004301396775425,0.0036441364448523274
crag_23_TILE_33,0.05061452298635308,0,0.0016891558342804855,0.0015323151957204754
crag_24_TILE_20,0.057956854014887316,0,0.0,0.0027898739665036957
crag_24_TILE_21,0.03488038967406097,0,0.004247964123497834,0.003575601454983247
crag_25_TILE_1,0.06112187628393783,0,0.00533037517281414,0.0035883619182027864
crag_25_TILE_16,0.09742856374209004,0,0.041211769608667674,0.049021621684680605
crag_25_TILE_5,0.12903393071884126,0,0.07495269315555594,0.07760797508491249
crag_25_TILE_7,0.06146343577691014,0,0.010166041132338434,0.013467292466422597
crag_26_TILE_17,0.10579161006855242,0,0.01578847088569023,0.015390954400284899
crag_27_TILE_0,0.026262374472291995,0,0.0008148632230570105,0.0005334604545969522
crag_28_TILE_18,0.02870493690451298,0,0.009512492370151452,0.007233366402135209
crag_28_TILE_26,0.04115306957249612,0,0.0144948119487906,0.012033408941961941
crag_28_TILE_3,0.010304222408467973,0,0.004210394764012236,0.002945631448456921
crag_29_TILE_0,0.05499203939305936,0,0.002204280556463839,0.0018902316273919952
crag_29_TILE_20,0.02909005919795637,0,0.0001338046193827629,0.00042818222122302367
crag_29_TILE_22,0.05840631732307387,0,0.008613580801410305,0.0064074217396136
crag_29_TILE_26,0.0,0,0.0015848176177601675,0.0014880910267729827
crag_29_TILE_9,0.04223149092922962,0,0.0002794958738477511,0.0006837403175205669
crag_2_TILE_21,0.10638231781683144,0,0.00345786307736964,0.00445143044060396
crag_2_TILE_35,0.07094948472527847,0,0.004447327911989554,0.0029809700919018805
crag_30_TILE_33,0.08456841224491878,0,0.02659056570896345,0.031211527971819798
crag_30_TILE_35,0.07980771764313029,0,0.01983480427149466,0.02225802047234765
crag_30_TILE_5,0.06182610412523573,0,0.0030687453649578624,0.0019179374004275494
crag_32_TILE_35,0.12327734421539918,0,0.0011622263436672157,0.0020019506099212894
crag_33_TILE_22,0.06677154668165838,0,0.014132302904348719,0.011071290368283145
crag_33_TILE_32,0.11834433452505669,0,0.01686196009551914,0.020426735422980933
crag_34_TILE_17,0.005271377847028312,0,0.007485128448447029,0.005401541226991497
crag_34_TILE_23,0.06186184005487629,0,0.0029857417065310052,0.0026020360100508996
crag_34_TILE_5,0.03949733798831066,0,0.006943553561234322,0.005723672514342549
crag_35_TILE_13,0.07545559888168187,0,0.004146271728240838,0.0029312795457470597
crag_36_TILE_19,0.047878714541472266,0,0.007138357071963612,0.005902465624303647
crag_36_TILE_33,0.08157690031419748,0,0.024918667093934057,0.02950723542319744
crag_39_TILE_33,0.04263183332846877,0,0.0016422135564179696,0.0014498811579429893
crag_39_TILE_34,0.03908129956357119,0,0.0011719623964291687,0.0013662906935926686
crag_39_TILE_4,0.04270157151073768,0,0.0009671272712791289,0.0010658353312602495
crag_3_TILE_2,0.03817141012570572,0,0.0014846290762688004,0.0022811268689278486
crag_3_TILE_28,0.05145746770509412,0,0.002202275761203745,0.0028815277764094385
crag_3_TILE_4,0.05922380805579996,0,0.001328025640437096,0.0016542662940585398
crag_43_TILE_18,0.032392324503003785,0,0.020655209207253417,0.015260180138193266
crag_43_TILE_30,0.10331021146005105,0,0.015928488253914158,0.019329274835179
crag_43_TILE_34,0.07964045666077887,0,0.008905358943464713,0.015874594055869794
crag_44_TILE_23,0.012726941652922234,0,0.016326637749782796,0.012578692097480075
crag_44_TILE_31,0.013874442878105006,0,0.0101959986137837,0.0084859252184935
crag_45_TILE_10,0.0169277499691984,0,0.0015144090489164997,0.0011649525202195173
crag_45_TILE_14,0.056237465442397126,0,0.0026097146304784858,0.0025070771289824687
crag_45_TILE_28,0.02093560821964553,0,0.001587321113126328,0.0017037611540352906
crag_46_TILE_16,0.015603111178035233,0,0.014014944246958554,0.011984165888428667
crag_46_TILE_2,0.01043320070941444,0,0.030457851986915533,0.024975129176245635
crag_46_TILE_22,0.02266050579181909,0,0.00886209601109338,0.00660545617887959
crag_47_TILE_8,0.03887715119568718,0,0.00140710967969973,0.0011517184111407104
crag_48_TILE_9,0.0444681375058854,0,0.0005253742211223627,0.0008668660093406942
crag_49_TILE_11,0.0,0,0.002950728168094465,0.0019392989563693497
crag_49_TILE_12,0.023642604072691198,0,0.004150888038484021,0.0029497022775352173
crag_4_TILE_2,0.018792947569441543,0,0.0018126624396778129,0.0016765357671099925
crag_4_TILE_25,0.05376288194095985,0,0.0046742265515027775,0.0051163649280486275
crag_4_TILE_3,0.026098418342931612,0,0.004528239848735344,0.003757675390582219
crag_4_TILE_7,0.04828519609791599,0,0.005562130503808299,0.005996112878406707
crag_50_TILE_35,0.2423841808726981,0,0.023988939023310236,0.028611849165980086
crag_50_TILE_8,0.05681932592110509,0,0.0032660815548768603,0.0031518778987975706
crag_50_TILE_9,0.1122454663578364,0,0.0031524249367699793,0.0032794600182775384
crag_51_TILE_3,0.01121707984895909,0,0.0034496358921513705,0.0031171812287608125
crag_52_TILE_19,0.12736684604888887,0,0.07882379008171128,0.09103398894574595
crag_52_TILE_3,0.06568377987020112,0,0.0007456946172272618,0.0009041672399993727
crag_52_TILE_5,0.012932143525407716,0,0.0022303531861252103,0.0015833518068795343
crag_53_TILE_11,0.0021939003891812835,0,0.003179161698574086,0.0035312879815743276
crag_54_TILE_22,0.24094909129050576,0,0.3939548840198315,0.3222092784640359
crag_54_TILE_26,0.22980323787906626,0,0.3539274836266351,0.35601222474285765
crag_54_TILE_34,0.15297905794728442,0,0.35258204438465457,0.3669538314353055
crag_54_TILE_7,0.06370441079512444,0,0.011317287239338534,0.01567955337565774
crag_55_TILE_17,0.0,0,0.015129621671911222,0.013138200040087634
crag_55_TILE_7,0.056729939268943694,0,0.0002661184303137621,0.00013090209091779157
crag_56_TILE_35,0.05233519873350718,0,0.0021621208256409515,0.001425741962383791
crag_57_TILE_34,0.18306335297670945,0,0.016115323958584976,0.017484843733476165
crag_57_TILE_4,0.10948279378170499,0,0.006741053629061978,0.006165141587194343
crag_58_TILE_10,0.059741136660310806,0,0.011904803557285779,0.009944369274354084
crag_58_TILE_16,0.035272306187434155,0,0.00993995450136785,0.01021889517912802
crag_58_TILE_27,0.039882471542663285,0,0.004318402766793176,0.004165077627973262
crag_58_TILE_28,0.026228003183978162,0,0.02489637506059792,0.02267426524000606
crag_59_TILE_0,0.09775498341011712,0,0.008112758656679467,0.009004938977794813
crag_59_TILE_17,0.07697766150347697,0,0.0033753757043093395,0.003549834300251228
crag_59_TILE_21,0.11106803530203864,0,0.0022770758665297645,0.0038782962579078685
crag_59_TILE_9,0.06301866668775191,0,0.00047216712803055204,0.0012644774835018518
crag_5_TILE_6,0.07524096048141313,0,0.007090188056622742,0.006572028498709827
crag_60_TILE_24,0.008633172252316601,0,0.003090392089464446,0.002163340758675013
crag_60_TILE_35,0.18401450581933235,0,0.006236057115661148,0.01087305188011595
crag_62_TILE_21,0.06150294638143024,0,0.007478082307463427,0.007697721790068678
crag_63_TILE_10,0.11082034172788424,0,0.037990143224405394,0.05089668251711712
crag_63_TILE_16,0.06691829447043224,0,0.013725915263961394,0.014634550081773586
crag_63_TILE_17,0.031991283181146635,0,0.008093221516929662,0.01401005605981634
crag_6_TILE_13,0.10621714066050209,0,0.019330172268887703,0.017102143891832174
crag_6_TILE_7,0.0632729016470124,0,0.013794241142145572,0.011121953360010354
crag_7_TILE_0,0.011970307402902119,0,0.0023096069326653526,0.0017332803882407475
crag_7_TILE_11,0.21639965315557952,0,0.6047988556437628,0.5850543460662716
crag_7_TILE_29,0.13312266181131993,0,0.014947997819407222,0.027088723655471537
crag_8_TILE_17,0.019299149950632668,0,0.004056228349964786,0.0034908836174063723
dpath_10_TILE_0,0.0323783994732598,0,0.003168930037696423,0.0028120254768091136
dpath_11_TILE_9,0.06453202681930796,0,0.046046714078989213,0.04938531023793299
dpath_12_TILE_38,0.17055249459678556,0,0.019485559654015577,0.026443322363726325
dpath_12_TILE_47,0.06545179708155736,0,0.002959764304137209,0.0037136945908979703
dpath_13_TILE_21,0.13799790158360267,0,0.5523719762510109,0.6548228506795843
dpath_13_TILE_40,0.2638997235146512,0,0.025898460698309644,0.030821134961507242
dpath_15_TILE_9,0.04856846498225079,0,0.002899537678984146,0.003060847129641856
dpath_16_TILE_2,0.0,0,0.0006507873470244933,0.0007718620593895703
dpath_19_TILE_15,0.025999679278707603,0,0.012168052433976851,0.027399728646655023
dpath_19_TILE_9,0.053608704657155906,0,0.0027927312052461488,0.0019021081470737772
dpath_20_TILE_4,0.00476030430491596,0,0.0011024593855236485,0.0006371025582445988
dpath_24_TILE_5,0.044410830028998045,0,0.004386866721829542,0.004093625422204987
dpath_26_TILE_0,0.03174711430860309,0,0.006243205505958163,0.004948742214821677
dpath_27_TILE_22,0.06621646037883647,0,0.006105860824749327,0.0043333377861020355
dpath_27_TILE_32,0.03765809163328595,0,0.033376736913444914,0.04940696958727715
dpath_27_TILE_9,0.020332855967144015,0,0.004405047210469388,0.0025863039064311154
dpath_28_TILE_13,0.05349817615670091,0,0.004292125312949641,0.003377717393892895
dpath_29_TILE_0,0.021601431456814646,0,0.016118813027640573,0.0317328353235122
dpath_2_TILE_13,0.46519566100070087,0,0.5545180889114384,0.7244531194428675
dpath_31_TILE_10,0.9999999999615475,0,0.9999999999995184,0.9999999999996327
dpath_32_TILE_5,0.05251251779936366,0,0.026214532828611976,0.03791523367633164
dpath_33_TILE_6,0.011001043895755971,0,0.00668707983043597,0.0044475678937860134
dpath_35_TILE_35,0.02425847255846977,0,0.0070876879203146115,0.005488338317559519
dpath_36_TILE_1,0.2109511677796398,0,0.02083966093032328,0.0312011014554636
dpath_37_TILE_1,0.00947413914309141,0,0.004510304565844504,0.0037662251494392294
dpath_38_TILE_0,0.10010247052772944,0,0.004214007044859237,0.003935432035420528
dpath_39_TILE_3,0.045317292021743276,0,0.002257739800776182,0.0018499192436354452
dpath_42_TILE_2,0.052126388423591,0,0.00452779238748998,0.0028168533045630426
dpath_44_TILE_1,0.04260563482672906,0,0.011507982583316787,0.008906232206596454
dpath_46_TILE_11,0.08191747424840042,0,0.0,0.00043424332498888846
dpath_46_TILE_18,0.044778486862316114,0,0.0018756179475414832,0.001479716579837527
dpath_46_TILE_34,0.03797006234228887,0,0.0034453858543519815,0.002940260021350931
dpath_46_TILE_40,0.0015904121556543321,0,0.0026496734012229546,0.002054868268707126
dpath_47_TILE_0,0.05826562868675825,0,0.0025263778084244092,0.0024878886797728584
dpath_47_TILE_11,0.09175169424155921,0,0.0013891451736647625,0.002340352205176744
dpath_47_TILE_16,0.08516190464823363,0,0.0030290794725865667,0.002554735740210268
dpath_48_TILE_7,0.03469192517490197,0,0.00035205000655511254,0.00023706473669820861
dpath_49_TILE_1,0.1276117632005453,0,0.005756361173836729,0.004058667244616826
dpath_49_TILE_7,0.021636485163269104,0,0.012996114714893528,0.010956158680546082
dpath_4_TILE_15,0.10557029833093647,0,0.040802402854552215,0.07994190921213343
dpath_50_TILE_13,0.18017117406384756,0,0.010545693862483139,0.012926406225824817
dpath_51_TILE_13,0.017063456393427753,0,0.0011899725113291122,0.001087100528995222
dpath_53_TILE_14,0.016992571301715192,0,0.027979544927248863,0.039265029158047214
dpath_54_TILE_7,0.008719229571594734,0,0.001440287297438209,0.0008228535416740203
dpath_55_TILE_0,0.019093763241922405,0,0.011679940128077517,0.00974525927985645
dpath_55_TILE_21,0.06902529593708633,0,0.01207887118101858,0.020280265872092664
dpath_56_TILE_10,0.02054944878421887,0,0.005291760213333764,0.004394561600210832
dpath_56_TILE_3,0.03278407970222082,0,0.003420652044504433,0.002203758158363955
dpath_56_TILE_7,0.032017561029068296,0,0.009131081679773815,0.011611886577105778
dpath_57_TILE_6,0.10148071537576303,0,0.012581286627192793,0.013542723402638283
dpath_5_TILE_13,0.06668675401394471,0,0.001759601032270387,0.001999797340845912
dpath_5_TILE_7,0.19057961640513027,0,0.006865555988185795,0.009456764916409979
dpath_62_TILE_12,0.019964459907852023,0,0.0025308277060664876,0.0022747645015873614
dpath_62_TILE_24,0.021400163047193225,0,0.003260182427631838,0.002196709919255273
dpath_62_TILE_26,0.06332191429592292,0,0.008095387235293397,0.006851736284538367
dpath_62_TILE_27,0.001468577274886523,0,0.01284810281512626,0.008919068829591736
dpath_62_TILE_33,0.044341816466363336,0,0.0029109805833008864,0.002096703897259498
dpath_62_TILE_36,0.00964477108168477,0,0.004391408711039506,0.0033655915069630967
dpath_63_TILE_10,0.013876061575580186,0,0.002037910847447159,0.0014472366007029932
dpath_63_TILE_5,0.08564027511574299,0,0.016114848791739973,0.027906705954685296
dpath_64_TILE_0,0.009220250055932149,0,0.0015013803745291944,0.0009768892216826936
dpath_66_TILE_25,0.010344080397114314,0,0.003390492592155994,0.002216516135041736
dpath_66_TILE_7,0.0370628155345941,0,0.004828397556404258,0.0033491941287985085
dpath_67_TILE_16,0.03726425304455886,0,0.008985133870319522,0.006565092781324651
dpath_6_TILE_3,0.08412862809775104,0,0.0019695353382974488,0.0014003457123218414
dpath_7_TILE_2,0.054391098682109416,0,0.0023769203869134573,0.0013192114201706236
dpath_7_TILE_3,0.015536756968864926,0,0.0007293694223610579,0.0005473148028004068
dpath_8_TILE_15,0.0416419143567688,0,0.009934450706333925,0.014620848935857855
dpath_8_TILE_18,0.09741654519383794,0,0.006109680361633316,0.005456597007607653
dpath_9_TILE_1,0.08020038295607641,0,0.015100634500633533,0.01690624456311691
glas_10_TILE_0,0.019383391904857366,1,0.004830810983148831,0.0036172171089301555
glas_10_TILE_1,0.04513711692347899,1,0.002001631493160322,0.0020128959444319756
glas_10_TILE_2,0.034842333284012095,1,0.01003450458863479,0.007459282958576595
glas_10_TILE_4,0.040306479341660796,1,0.0021026545365166755,0.0014954342115483371
glas_10_TILE_5,0.039087811414762315,1,0.0047609941989362045,0.004419262848839491
glas_10_TILE_6,0.04458193136437288,1,0.003987638290500051,0.0031679939017958685
glas_11_TILE_0,0.05302520901546051,1,0.0018947248879352214,0.0021393663169953737
glas_11_TILE_1,0.03212067864974444,1,0.004489307462673876,0.0029192372107481766
glas_11_TILE_2,0.024973100148630047,1,0.0008802042976146377,0.00036544430061897213
glas_11_TILE_4,0.01627066004161666,1,0.003336838787682337,0.0024674762400187108
glas_11_TILE_5,0.0034982132791170706,1,0.0033734667648788086,0.00291393929382858
glas_11_TILE_6,0.021231696962572554,1,0.0004959508942410317,0.0004182078484700047
glas_12_TILE_0,0.11143640767900702,1,0.005836443191797459,0.006964777952613931
glas_12_TILE_1,0.17188463206705776,1,0.026626841987826142,0.02268212846205748
glas_12_TILE_2,0.3384901484648597,1,0.02887810763209667,0.027093513263551586
glas_12_TILE_4,0.05331027635630923,1,0.0035404936152158874,0.0024953153996968504
glas_12_TILE_5,0.06422914974825313,1,0.00377869700261483,0.0029725771488595173
glas_12_TILE_6,0.07479049401379081,1,0.016981467445800466,0.013352664406701326
glas_13_TILE_0,0.23992227677578576,1,0.02054141567625719,0.022099249243727075
glas_13_TILE_1,0.05520818450560008,1,0.0053981845692920504,0.004480733919001007
glas_13_TILE_2,0.039704331491158276,1,0.004713011184950567,0.00394550528176348
