,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
consep_4_TILE_1,0.0008181976429618312,0,0.002291927456720507,0.004392726294068323
consep_9_TILE_1,0.08896941025305855,0,0.07293111048711094,0.1256092477437493
consep_9_TILE_2,0.013079231175055142,0,0.023269293783346336,0.03272260153544574
crag_10_TILE_34,0.02463843406458775,0,0.005846363549433583,0.007951140571890723
crag_11_TILE_10,0.08013461057263276,0,0.0007891854520119487,0.0029553490152047714
crag_11_TILE_35,0.008125881797490261,0,0.0015666619045673028,0.003378738379398056
crag_12_TILE_31,0.011771287010990644,0,0.0020041802994817635,0.00502250958694701
crag_14_TILE_4,0.013424800129559721,0,1.5995192048751148e-05,0.0017729284660651923
crag_14_TILE_7,0.031273070102911756,0,0.0009773148309573391,0.0027988189628458567
crag_16_TILE_16,0.016959366588973446,0,0.00039165685169357183,0.0027513259468943
crag_16_TILE_20,0.03428977934112206,0,0.0019673396662443316,0.003324300619483058
crag_17_TILE_18,0.05649959451038643,0,0.02060590711297363,0.028479494055136865
crag_17_TILE_22,0.024668216976846655,0,0.003378905277578754,0.005544904661400946
crag_17_TILE_32,0.07808219201467928,0,0.019619661823441024,0.02653580526693953
crag_18_TILE_13,0.03709424799877454,0,0.002665485865419906,0.00434541785917754
crag_18_TILE_23,0.020753479700110714,0,0.003273715562109018,0.005702917395677994
crag_18_TILE_30,0.00020665893087992888,0,0.0011012897614102923,0.002997037055541214
crag_19_TILE_11,0.028566201043054313,0,0.013871442002083578,0.018159850063454795
crag_19_TILE_4,0.34714921249872044,0,0.49524258229593227,0.5378660021395996
crag_1_TILE_20,0.02987994576865797,0,0.0012990922687961524,0.003018088476362792
crag_1_TILE_25,0.0035345085395920646,0,0.00583696420707577,0.009469839348272766
crag_20_TILE_15,0.029879296740515832,0,0.001737325287960966,0.003330823354406965
crag_20_TILE_17,0.03664892453048859,0,0.001420771286033191,0.0034735233285650966
crag_21_TILE_30,0.01189607732500242,0,0.0026872289021657634,0.004440881016745836
crag_22_TILE_16,0.0014486670126052747,0,0.00035654855682494833,0.0020610823343916083
crag_23_TILE_10,0.05104674277838791,0,0.0030620096805977002,0.004608976408607426
crag_23_TILE_33,0.015687676495177202,0,0.0008414641549781562,0.0031172813243880867
crag_24_TILE_20,0.057424142569902456,0,0.0,0.003729070133204074
crag_24_TILE_21,0.01744700669029245,0,0.0027961964842102994,0.004634243856922558
crag_25_TILE_1,0.03408854929411713,0,0.003219628528112324,0.004957719743908597
crag_25_TILE_16,0.08799189644159196,0,0.07397441727798337,0.10077677284336403
crag_25_TILE_5,0.07025229495610304,0,0.057340795693656084,0.07722799002079728
crag_25_TILE_7,0.023434332148975136,0,0.008436799095463422,0.01391958201780399
crag_26_TILE_17,0.0851743027312933,0,0.009690201592134122,0.0130349286068632
crag_27_TILE_0,0.020108825447377687,0,0.0005476949619162716,0.0022832245401215555
crag_28_TILE_18,0.015675504074088787,0,0.004998626777895765,0.007465218462619636
crag_28_TILE_26,0.04539583774396128,0,0.009200399984269431,0.011048308208966254
crag_28_TILE_3,0.003471501378324527,0,0.0025390460951007173,0.004337765923419753
crag_29_TILE_0,0.018742133643482206,0,0.0015277126471853223,0.003401081837286303
crag_29_TILE_20,0.005912600540478598,0,0.00018503657693210265,0.0023819475190432495
crag_29_TILE_22,0.025141309448179824,0,0.00564276846169601,0.007345897996721509
crag_29_TILE_26,0.0024623341693173926,0,0.0014045780876566893,0.0032754911356746067
crag_29_TILE_9,0.011100215377979783,0,0.0003230572859781936,0.002424522467096204
crag_2_TILE_21,0.08079513920637652,0,0.002101625424403556,0.0052610100514007925
crag_2_TILE_35,0.033714415670126695,0,0.002492672411954074,0.004236585679032289
crag_30_TILE_33,0.07409245896826555,0,0.03322097965929382,0.03624603043023007
crag_30_TILE_35,0.06049307497214089,0,0.011168255918713933,0.015928730960325436
crag_30_TILE_5,0.031065023674229697,0,0.001203946271795204,0.003352081365283174
crag_32_TILE_35,0.06283200078675616,0,0.0008226406870635262,0.0032651318310409263
crag_33_TILE_22,0.043594044948819514,0,0.008354051422720785,0.010306488626215304
crag_33_TILE_32,0.10567981121500207,0,0.012194073478683844,0.01831112297761945
crag_34_TILE_17,0.009498840871685276,0,0.004822913584374795,0.0064977353030307465
crag_34_TILE_23,0.03260953965416442,0,0.0016961301705050425,0.004066993348252753
crag_34_TILE_5,0.01845485263774914,0,0.004105624966830158,0.0070573198888238655
crag_35_TILE_13,0.03313634488566631,0,0.0022486525174083777,0.004150892345350668
crag_36_TILE_19,0.040523526188292205,0,0.003939946738477445,0.006542014618801494
crag_36_TILE_33,0.06829943561053846,0,0.019674304940216963,0.031092340395796524
crag_39_TILE_33,0.0225063307682848,0,0.0009998301315557586,0.002904132125962931
crag_39_TILE_34,0.02758644744361906,0,0.0008544858394935444,0.0029110248173906165
crag_39_TILE_4,0.027211332959815336,0,0.00034807568257540347,0.002617954274614035
crag_3_TILE_2,0.009864002762852394,0,0.0012528108273133446,0.003615815930159912
crag_3_TILE_28,0.023074357853281473,0,0.0017991762690263311,0.0035324677737653726
crag_3_TILE_4,0.03305838369560969,0,0.0013777249309508252,0.0029014173066597903
crag_43_TILE_18,0.010016416008412651,0,0.01214233075599776,0.013615377958680815
crag_43_TILE_30,0.055239933644908666,0,0.013959770525993327,0.02131224687544107
crag_43_TILE_34,0.06454051023139126,0,0.009838470924897822,0.020878416741104112
crag_44_TILE_23,0.018047978055260414,0,0.010584551640424593,0.011251433883721455
crag_44_TILE_31,0.0008895143013153253,0,0.0066568122620043295,0.008427340365570274
crag_45_TILE_10,0.006720967071550956,0,0.001177870394561157,0.0029081591958807365
crag_45_TILE_14,0.021082898366901706,0,0.0017959701870431902,0.0038350261434207064
crag_45_TILE_28,0.007129785700602964,0,0.0011091920554092461,0.002969996212248652
crag_46_TILE_16,0.010669150690968836,0,0.00973367441363042,0.011544082216386564
crag_46_TILE_2,0.01210562867757672,0,0.01962769683063764,0.02101826298420539
crag_46_TILE_22,0.023762365017408554,0,0.005089898508956531,0.006612989173253962
crag_47_TILE_8,0.023394072631548694,0,0.001093349290695292,0.002815685346701441
crag_48_TILE_9,0.013603242315807593,0,0.0005184658291386809,0.0025431217604628756
crag_49_TILE_11,0.002104554518858496,0,0.002036371479496349,0.0034489601733815405
crag_49_TILE_12,0.016933509486440623,0,0.0031349269726175825,0.004571874960285363
crag_4_TILE_2,0.0022451504311775655,0,0.0012692710367161629,0.0028111884466161217
crag_4_TILE_25,0.019025126431594163,0,0.0032009681968823657,0.005835399170230306
crag_4_TILE_3,0.003710658991788358,0,0.0024522226295869373,0.004477624305385579
crag_4_TILE_7,0.015914072515847782,0,0.003938577790291775,0.006374832313457447
crag_50_TILE_35,0.19469274085839694,0,0.017518884192600302,0.0271238588694301
crag_50_TILE_8,0.025085838179755127,0,0.002343570367822066,0.004045602507525513
crag_50_TILE_9,0.07512575853527897,0,0.0017012645664476207,0.00457223527728283
crag_51_TILE_3,0.0016004202167463773,0,0.002469175015961051,0.004305708442938767
crag_52_TILE_19,0.11260321993635387,0,0.07145613741922277,0.09217009500724782
crag_52_TILE_3,0.03245954292209415,0,0.00046782155527402234,0.0024617244258567663
crag_52_TILE_5,0.014811240706062528,0,0.001252169988360499,0.003513021042595922
crag_53_TILE_11,0.0013899233868172798,0,0.00203777410569006,0.00444922147443757
crag_54_TILE_22,0.13799873145764263,0,0.6695320372120143,0.7570228348125546
crag_54_TILE_26,0.15224950387059158,0,0.5229745385952708,0.6225459577913284
crag_54_TILE_34,0.07725938875627487,0,0.45067737840289096,0.5166616723402455
crag_54_TILE_7,0.028848857789627893,0,0.01176824959488825,0.015006237054263632
crag_55_TILE_17,0.0,0,0.015276508199356793,0.019380979910683445
crag_55_TILE_7,0.03465361470873696,0,0.00030312742402754565,0.0021668369057278977
crag_56_TILE_35,0.050900171784173234,0,0.0014453022888456098,0.0030522707939302186
crag_57_TILE_34,0.1984544691569217,0,0.010131599380322766,0.0166960388500199
crag_57_TILE_4,0.09458743357247569,0,0.004576598638184465,0.006975422379881638
crag_58_TILE_10,0.045504477380547206,0,0.005769093344799197,0.009328822513165774
crag_58_TILE_16,0.029135036829283898,0,0.005483762479516854,0.009136432753482885
crag_58_TILE_27,0.032264165818475674,0,0.0027306534313016866,0.005515432758315016
crag_58_TILE_28,0.011768810770670157,0,0.014405795628528074,0.018646816128221774
crag_59_TILE_0,0.0536832118777104,0,0.005712020316044545,0.009386417604216171
crag_59_TILE_17,0.04645847278018184,0,0.002011200834834256,0.004169617173885999
crag_59_TILE_21,0.06764209730908675,0,0.0017656860723221438,0.004803823878548668
crag_59_TILE_9,0.027517981369348743,0,0.0004634140117505591,0.002698416586763379
crag_5_TILE_6,0.05481078989931658,0,0.004295554748208753,0.007453219438544068
crag_60_TILE_24,0.015148171153709906,0,0.0021008777659573584,0.003943809247151968
crag_60_TILE_35,0.16739978087403304,0,0.004865241370240701,0.011630742272530008
crag_62_TILE_21,0.07166315866343666,0,0.004571548470378173,0.009808531237273137
crag_63_TILE_10,0.11218422734151151,0,0.04470174546596877,0.07111555631485746
crag_63_TILE_16,0.06318718388486616,0,0.012068461558820088,0.014808127065633472
crag_63_TILE_17,0.03508972972835545,0,0.009536841923067144,0.014495224018530938
crag_6_TILE_13,0.0822035796475474,0,0.011628639825503627,0.01450698370204132
crag_6_TILE_7,0.03996390688758665,0,0.008033190036160232,0.010634897546358666
crag_7_TILE_0,0.015517929757492393,0,0.0018503742019030083,0.0033302143503092328
crag_7_TILE_11,0.30032962984295025,0,0.8518277527877547,0.8603628869208753
crag_7_TILE_29,0.07180928332896913,0,0.023591137994325218,0.039409284757219255
crag_8_TILE_17,0.004298163081002676,0,0.0024378762026905443,0.004299247611365639
dpath_10_TILE_0,0.009326467099193386,0,0.001985772884086923,0.004138659912237986
dpath_11_TILE_9,0.028207639088020854,0,0.098682009038262,0.13287296448931019
dpath_12_TILE_38,0.11726254192153497,0,0.011843012068868048,0.022218206258912927
dpath_12_TILE_47,0.02999857617321701,0,0.0020788325932282825,0.004785936054703707
dpath_13_TILE_21,0.14380449852984556,0,0.6867438037613657,0.757832066767789
dpath_13_TILE_40,0.1405573412327761,0,0.08672367185872294,0.125805813015063
dpath_15_TILE_9,0.034156677879723915,0,0.0018795515761295194,0.004393771924712548
dpath_16_TILE_2,0.0,0,0.0004394245920146143,0.0023829543677411653
dpath_19_TILE_15,0.008335451519467386,0,0.027147970483568148,0.043486328882429544
dpath_19_TILE_9,0.021331934219312617,0,0.0018453745069695686,0.003341007423796106
dpath_20_TILE_4,0.01175817980859016,0,0.0007940358336552429,0.0024944771804920217
dpath_24_TILE_5,0.03569736245419323,0,0.0025040273636127886,0.005780560322471514
dpath_26_TILE_0,0.026904471471787407,0,0.003592742707266875,0.0060221269971093665
