,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
consep_4_TILE_1,0.035612236216921285,0,2.2099666937507672e-07,2.0620728542739614e-07
consep_9_TILE_1,0.3536002229455341,0,0.64935395761914,0.8494752781176133
consep_9_TILE_2,0.03017512582080032,0,5.038209157946147e-05,6.590667571682867e-05
crag_10_TILE_34,0.029841848340870263,0,0.6547803589234998,0.6423350871034379
crag_11_TILE_10,0.12332185757522042,0,1.3740416665373012e-06,2.0393626689712503e-05
crag_11_TILE_35,0.01233424759798867,0,1.3830684524908183e-07,1.711537395742713e-07
crag_12_TILE_31,0.030491261906740747,0,1.1469710985120441e-07,2.3499340047655793e-07
crag_14_TILE_4,0.02293457462276532,0,1.9249756702702294e-07,2.1596377975033493e-07
crag_14_TILE_7,0.032800997342244814,0,5.939988280108758e-06,1.0800013810303688e-05
crag_16_TILE_16,0.03674608051668433,0,4.306585526602059e-05,6.0898886396007624e-05
crag_16_TILE_20,0.09239214042851794,0,1.1795291001441244e-07,1.213147576112198e-07
crag_17_TILE_18,0.07754001515763069,0,4.5817384705462126e-05,6.0768792950160996e-05
crag_17_TILE_22,0.022523190787771964,0,4.194709868128035e-05,5.783612060620541e-05
crag_17_TILE_32,0.25898494758869206,0,0.8330841050811365,0.6954993818628371
crag_18_TILE_13,0.08125346042349546,0,5.229302986768788e-07,5.266241915269834e-07
crag_18_TILE_23,0.0529157278903352,0,1.859654252423414e-07,1.6501174532989384e-07
crag_18_TILE_30,0.00482694681678477,0,5.777748887701417e-08,8.424159439289395e-08
crag_19_TILE_11,0.04154281171552378,0,0.000231831673574848,0.0002746218758561918
crag_19_TILE_4,0.31552468123092453,0,0.0042010358747979195,0.004742739153310606
crag_1_TILE_20,0.054858009026758116,0,1.6401632504612898e-07,1.768838299459567e-07
crag_1_TILE_25,0.024469429482557602,0,7.051362525415371e-07,7.134329639186955e-07
crag_20_TILE_15,0.052940294220643586,0,9.15860554209836e-05,3.142836250117175e-05
crag_20_TILE_17,0.08199341162053657,0,5.596197016061903e-06,2.731081952148675e-05
crag_21_TILE_30,0.020118284294220884,0,0.00023883056840946824,0.0002585767289755201
crag_22_TILE_16,0.011209239360821298,0,1.9430336028622148e-07,2.2491165025706232e-07
crag_23_TILE_10,0.11170577161665493,0,0.0001231749412445952,5.021281564015611e-05
crag_23_TILE_33,0.12040388991785693,0,3.6101372526043293e-08,6.244888771166628e-08
crag_24_TILE_20,0.07210346389630144,0,8.519749876712628e-07,1.247543884111024e-06
crag_24_TILE_21,0.038379551367478226,0,4.312810533310194e-05,5.900692729204571e-05
crag_25_TILE_1,0.10825579520460474,0,0.3557137139113977,0.3312337637219953
crag_25_TILE_16,0.18437686833434308,0,0.00015131882213426375,0.00017563661195876986
crag_25_TILE_5,0.3786754486421875,0,0.41592034128566163,0.4069986084159231
crag_25_TILE_7,0.07995406121612203,0,8.60166385470346e-07,1.2316573855458078e-06
crag_26_TILE_17,0.18907621151351753,0,0.005993038124751532,0.012485576151717552
crag_27_TILE_0,0.026857573574813408,0,1.525410215357468e-07,1.2629220957171118e-07
crag_28_TILE_18,0.04376279327337069,0,3.558581091182945e-07,4.7429638473959493e-07
crag_28_TILE_26,0.06700458403091981,0,6.310519396149348e-07,7.963223911574033e-07
crag_28_TILE_3,0.002334493452835797,0,4.694124104660326e-05,6.278965868987382e-05
crag_29_TILE_0,0.052892526826732435,0,9.623877488055415e-08,1.2409596945310473e-07
