,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
consep_4_TILE_1,0.0038907515347035826,0,0.004139138488123606,0.0032888408005067584
consep_9_TILE_1,0.11248288078435009,0,0.11001822693413199,0.08674730458962367
consep_9_TILE_2,0.03054510478985702,0,0.028884097884403884,0.027532541997671987
crag_10_TILE_34,0.030598645187471837,0,0.008447469614508825,0.005798834926447583
crag_11_TILE_10,0.13443924568073845,0,0.0012710864421373537,0.0020650475003769287
crag_11_TILE_35,0.010367939146245578,0,0.00245872133649801,0.002054887210503002
crag_12_TILE_31,0.007004271026180577,0,0.003004652508746668,0.0029394371311171137
crag_14_TILE_4,0.019044190438538718,0,0.0006639578074786026,0.0002904527679018502
crag_14_TILE_7,0.06235763617506751,0,0.0019754109607995484,0.0014727262052797343
crag_16_TILE_16,0.051187042789473905,0,0.00042299674169691713,0.0011263611048893149
crag_16_TILE_20,0.0688830788754041,0,0.0039750194782728655,0.002062045570214388
crag_17_TILE_18,0.08687377788010141,0,0.026416083117598278,0.03205700117579345
crag_17_TILE_22,0.05654830886226187,0,0.006628293590188251,0.006479782174622233
crag_17_TILE_32,0.13672508426313598,0,0.029513996957691115,0.02826660745919508
crag_18_TILE_13,0.03158985621471299,0,0.00564311212467762,0.004052017141043884
crag_18_TILE_23,0.01882331463123832,0,0.004618168906042196,0.003411785274120658
crag_18_TILE_30,0.008755061707554777,0,0.0008288140200409628,0.000676206709309939
crag_19_TILE_11,0.040859466268070306,0,0.015290486659673084,0.013814793881769115
crag_19_TILE_4,0.1372087226012216,0,0.3869910238769234,0.24227398559802246
crag_1_TILE_20,0.06231277629353826,0,0.00444841338019114,0.0035270773882200555
crag_1_TILE_25,0.01873634549562192,0,0.02450463025215842,0.017502669124599975
crag_20_TILE_15,0.03697880293112071,0,0.004677633240609686,0.0024693261943982605
crag_20_TILE_17,0.04704911259173743,0,0.0025435637547192996,0.0021407216559082257
crag_21_TILE_30,0.01651984031336515,0,0.008149204064055286,0.003916257255260282
crag_22_TILE_16,0.00824024945604214,0,0.0015826519629946571,0.0008239641406812312
crag_23_TILE_10,0.0847177650075483,0,0.011774248811962115,0.006276983743614358
crag_23_TILE_33,0.05864477550452256,0,0.001951758846525281,0.0016295527861604963
crag_24_TILE_20,0.08609862739311182,0,0.0,0.0028013104362975007
crag_24_TILE_21,0.051929605259497004,0,0.01071672792805787,0.007583533973840883
crag_25_TILE_1,0.03553553732549407,0,0.007643124469672732,0.0051238330718407585
crag_25_TILE_16,0.08745493644430127,0,0.10159930613954098,0.06754301681857496
crag_25_TILE_5,0.07942183747823496,0,0.062228832455437165,0.03578070878256628
crag_25_TILE_7,0.029979369061963957,0,0.013192874481217696,0.010874342086971762
crag_26_TILE_17,0.1226836928079099,0,0.02404459197430579,0.01779095599245083
crag_27_TILE_0,0.018611539563865933,0,0.0030324186708746937,0.002246754364294681
crag_28_TILE_18,0.052379298513585235,0,0.011227134787558915,0.009437945417677137
crag_28_TILE_26,0.0532139817865746,0,0.016858446638890745,0.011366989389519137
crag_28_TILE_3,0.022066801302195276,0,0.00702273069168705,0.004539189570373911
crag_29_TILE_0,0.012057791768251648,0,0.0037696846168732883,0.0028770663311098797
crag_29_TILE_20,0.006324937320678198,0,0.0009551468863716113,0.0008569980572438209
crag_29_TILE_22,0.0479245489774039,0,0.013418136333028928,0.008651544320754167
crag_29_TILE_26,0.025674357353570834,0,0.0026603721636797475,0.0020411697797771077
crag_29_TILE_9,0.011410792748584796,0,0.0009782301278594384,0.0008842813641490333
crag_2_TILE_21,0.09385081933835764,0,0.005214400578510956,0.005568821121415248
crag_2_TILE_35,0.05434163050357361,0,0.004947275107270848,0.0029615282975144017
crag_30_TILE_33,0.07999548776549631,0,0.03801118387277056,0.04073504035021591
crag_30_TILE_35,0.07788166843961572,0,0.018217511702185368,0.01348920179649005
crag_30_TILE_5,0.0062056851913704966,0,0.0032711955049886266,0.0016699551971198299
crag_32_TILE_35,0.09696085181116872,0,0.0019126136111768184,0.0025566335945856776
crag_33_TILE_22,0.04607840359789415,0,0.013509425475081363,0.008545271145995596
crag_33_TILE_32,0.10029210892326947,0,0.02392070694653943,0.02173463684373851
crag_34_TILE_17,0.015612153572485117,0,0.00958491997594838,0.005812570865880262
crag_34_TILE_23,0.04666715470366321,0,0.0032161553672969195,0.0019464184033768073
crag_34_TILE_5,0.018023525738420348,0,0.009746408522470888,0.005901311571439392
crag_35_TILE_13,0.0916858684669904,0,0.00909867747117803,0.006160740952453815
crag_36_TILE_19,0.04454056635577447,0,0.00635194860954294,0.005130421279533746
crag_36_TILE_33,0.08347358592603527,0,0.02627480691011916,0.01831639528929411
crag_39_TILE_33,0.05224982551431754,0,0.0016106994223987518,0.0018160346970277088
crag_39_TILE_34,0.030902280872622583,0,0.001231549169943014,0.0006341646290238814
crag_39_TILE_4,0.035927125681732654,0,0.0013653069732585017,0.0007955801416572884
crag_3_TILE_2,0.008457774276729838,0,0.0038340731272373243,0.002646143310930829
crag_3_TILE_28,0.046186433300061704,0,0.003572186482346765,0.0021203731039633887
crag_3_TILE_4,0.04583821121923709,0,0.0033546098623896707,0.0019255300272150552
crag_43_TILE_18,0.01716369120064375,0,0.011383969893283701,0.006530520487945388
crag_43_TILE_30,0.06347844505712255,0,0.020340923799588097,0.019653635046769872
crag_43_TILE_34,0.09445137471120549,0,0.023095981397672945,0.017761843105711182
crag_44_TILE_23,0.01850160952775839,0,0.015570072118155854,0.011640376640733896
crag_44_TILE_31,0.007753528128402309,0,0.013270537724862771,0.009227624600904547
crag_45_TILE_10,0.005811107616172386,0,0.001119838293827808,0.00048179947537794717
crag_45_TILE_14,0.04602565269084816,0,0.0010129448844153773,0.0012670497899708014
crag_45_TILE_28,0.007647525166771618,0,0.004060973592483451,0.0025319048061743805
crag_46_TILE_16,0.038353227555687396,0,0.01841869402145408,0.014608954611068732
crag_46_TILE_2,0.04595819023639211,0,0.03754502446593145,0.024591516425350502
crag_46_TILE_22,0.037879342341969165,0,0.01391670066926462,0.00941059966063796
crag_47_TILE_8,0.03798616085816278,0,0.0025823292713901317,0.0019785509521533583
crag_48_TILE_9,0.03241188696977488,0,0.002874489251375628,0.0029766502393309647
crag_49_TILE_11,0.005737164760837842,0,0.005895837417016132,0.0039647874160859495
crag_49_TILE_12,0.018537172746442513,0,0.00655006392379407,0.0046459857164554644
crag_4_TILE_2,0.0039588428547703775,0,0.005764651482320671,0.0037561367694015856
crag_4_TILE_25,0.03614254243277966,0,0.006643655838083666,0.00660628000579345
crag_4_TILE_3,0.004224197484835364,0,0.004547936708269539,0.003676128226047122
crag_4_TILE_7,0.014657616674116797,0,0.005276675908004515,0.0034449450465406945
